Группа тем;Текст инцидента;Тема
Благоустройство;надо же город сад не понятно где сделать🙄;Отсутствие детских площадок
Здравоохранение/Медицина;добиться получения лекарств?;Льготные лекарства
Мусор/Свалки/ТКО;контейнер, кем-то обслуживался?Почему тогда добавили рейсы в Нагорную,;Проблемы с контейнерами
Культура;К сожалению не смог прийти;Учреждения культуры
Общественный транспорт;никаких остановок нет-безобразие;Отсутствие остановочных пунктов
Социальное обслуживание и защита;вот мы многодетные тре;Улучшение жилищных условий
Здравоохранение/Медицина;по полюсу можно в;Профильный осмотр
Культура;"языческое латиноамериканское божество, персонифицирующее смерть. То есть прямо сейчас, когда нас спасают от смерти на фронте лучшие из нас, когда они сами умирают за то, чтобы мы жили, мы в сердце страны устраиваем трехдневный костюмированный шабаш поклонения смерти? И не думайте, что это просто такой пёстрый аттракцион. Это мало того, что камлание бесам, буквально плевок в Бога, так ещё и наглухо отбитое чуство реальности у тех, кто это затевает. Наша страна воюет, причём воюет под стягами с ликом Христа, а в тылу, в сердце России, на русской Голгофе Урала обещают сатанинские мессы: Нас ждут ""церемония с хрустальными чашами, практика от перуанского шамана, пробуждение Духа, консультации тарологов, нумерологов, энергопрактиков, лекции о магии, мастер-классы по Амазонской медицине, эликсирам, талисманам, и какой-то ещё нейрокинезиологии, энергопрактики и магии в действии. А ещё дыхание шамана, связь с тотемными животными и духами предков. Ну а в завершении фестиваля нас ждет камлание пяти шаманов!!! Это будут фантастические вибрации!!! Подъем энергии Земли, радости, изобилия и защиты!"" Среди гостей анонсируют пригнать чертей со всего света: от мексиканских нарко-ведьм до наших блёклых мошенников из ""Битвы экстрасенсов"". Если в Перми есть власти, то они должны это остановить. Об этом просят жители города. За эти три дня шабаша и анти-молитвы мы можем заплатить очень страшную цену и в мирное-то время, а в военное, когда Господь уже во всю стучит в наше сердце , - цена может быть фатальной. И, кстати, три дня поста и искренней молитвы - умеют сделать ровно обратное: Развернуть и воскресить страну, наши силы, даровать победу на фронте. Что ещё должно произойти, чтобы мы это поняли? Танки НАТО на МКАДе или у уральского хребта, на подъезде к Перми?» Б. Корчевников И";Учреждения культуры
Коронавирус;антител не важно?;Сертификаты и QR-коды
Благоустройство;'На набережной не работают туалеты, были на набережной с 18-21.00, ни один туалет так и не заработал;Отсутствие общественных туалетов
Физическая культура и спорт;100%.Сколько можно ждать этого,нам,жителям Мотовилихи.Безобразие,да и только!😮🙄;Ремонт спортивных учреждений
Дороги;не видно, при чём очень много лет, что ж/б блоки наклонились в сторону проезжей части и создают аварийную ситуацию ?! Блоки эти находятся на подъёме по улице Балахнина от ул. Мира у гаражей. Я думаю сами найдёте ?! Почему всегда надо просить что бы кто то исправил, толку тогда от депутатов и администрации ?! Почему надо всегда делать официальные запросы, почему вы сами не можете головой подумать и;Необходима установка и замена дорожных ограждений
ЖКХ;- два, три дня нормально, а потом опять тоже самое!!!! И так уже больше двух лет!!! Зато деньги за квартиры драть и повышать тарифы не забывают!!!Анонимно;★ Засор в общедомовой системе водоотведения (канализации)
Газ и топливо;по ул Дегтярева 18. Дозвониться по;Восстановление газоснабжения
Дороги;транспорта – эту работу выполняют машины со специальными щётками, при необходимости помывка проводится вручную. Ограждающие конструкции очищают от грязи, песка и пыли.\n\nМасштабная весенняя уборка должна завершиться к майским праздникам. Планируется, что постепенно подключатся к весенней уборке и управляющие компании, которые уберут скопившийся за зиму мусор во дворах. На 23 апреля назначен общегородской субботник. \n\n#пермьпервая'];★ Несоблюдение правил уборки проезжей части
Благоустройство;детской площадки, детям;Отсутствие детских площадок
Образование;начало строительства могу я узнать? Школа одна в Кондратово, мест не хватает приходиться возить детей в другие школы, это;Строительство школ, детских садов
Образование;площадки и даже чистят снег. Нам не трудно но мы даже краску покупаем за свой счёт. А они даже снег не могут с крыши убрать.;Содержание гос. образовательных организаций
Социальное обслуживание и защита;откликнуться на вакансию. Резюме;Занятость и трудоустройство
Благоустройство;площадка в ужасном состоянии изначально! На этой площадке собаку можно только инвалидом сделать,а не;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
Общественный транспорт;'66 Крохалевка - парковый верните маршрут!;Добавить новый маршрут
Социальное обслуживание и защита;сейчас 28. Боюсь к концу года будет наша очередь за 40…Сперва финансирование сократили из-за не понятно чей ошибки , в этом году наверно из-за ситуации на Украине финансирование сократят. А там глядишь и 36.Тогда бы хоть очередь наладили. Надо уже собираться группой и писать письмо о нашей общей проблеме Путину В.В.;Улучшение жилищных условий
Электроснабжение;район ул.Кировоградская (около бывшего лагеря;★ Повреждение опор ЛЭП
Памятники и объекты культурного наследия;Дом Шувалова – один из самых впечатляющих памятников архитектуры, построенный в 1906;Памятники и объекты культурного наследия
Здравоохранение/Медицина;специалисты областной клиники по;★ Просьбы о лечении
Экология;Ладно посетители, а как;Выбросы вредных веществ в атмосферу/загрязнение воздуха
Благоустройство;садом Созвездие по дорожке ездит мини трактор, видимо для уборки территории, но вот он своими колёсами разрушает асфальтовое покрытие в этом небольшом скверике. Можно как то попросить не заезжать;Разрушение тротуаров и пешеходных дорожек
Общественный транспорт;сада 13 в расписании?;Отсутствие остановочных пунктов
ЖКХ;Владимирович где обещанное тепло?😢;Ненадлежащее качество или отсутствие отопления
Благоустройство;'Добрый день. По улице Серова,пос. Углеуральский, комунальщики проводили работы. И оставили после;Нарушение правил проведения земляных работ
Благоустройство;дорогу на Кутузова и, сделать свет но увы, скоро снег растает и будем опять в темноте шарахаться на;Отсутствие фонарей освещения
Дороги;ответила, что проблему решат;Освещение неисправно или отсутствует
Благоустройство;'Доброе утро! Работы;★ Подтопление территории
Газ и топливо;замену газовой колонки ? Являюсь инвалидом 3;Стоимость, оплата и возврат средств на газификацию
Благоустройство;обнаружен открытый колодецНа Ленина за почтой, вдоль дороги как идти в детский;★ Открытые канализационные люки
Благоустройство;невозможно ходить стало.😒;★ Ямы во дворах
Благоустройство;как то попросить не заезжать на территорию трактором;Разрушение тротуаров и пешеходных дорожек
Социальное обслуживание и защита;будут пособия выплачены?;Дети и многодетные семьи
ЖКХ;а бабушки у которых пенсия извините в 10 тысяч, им как быть тоже!? Нам никто не вернёт деньги то что покупаем воду. Почему мы должны набраться терпения и ждать когда устранят эту проблему!? Говорили за 2 дня управятся в итоге они видите ли не успевают, что рабочих не хватает ещё, а мы то причём!? Решайте, чтобы народ не возмущался! Сегодня подошли к этим рабочим, машут руками, ничего конкретно сказать не могут, что за организация делает отказались говорить нам 😏. Но главное терпение ответили....хорошо - Завтра обратимся в областную прокуратуру, пусть они обьяснят могут ли при ремонте оставлять людей без воды больше;Подключение к водоснабжению
Мусор/Свалки/ТКО;04. 05.2022. номер квитанции 8251611951;Плата за вывоз ТКО
Общественный транспорт;изменили. Тем более, вы обещали!!!!;Изменить или отменить маршрут
Дороги;нет даже решеток на ливневках. Велосипедисты - люди ловкие и внимательные. Но;Ливневые канализации (строительство и реконструкция)
Социальное обслуживание и защита;что то положено;Инвалиды
Социальное обслуживание и защита;пособий по беременности сегодня?;Задержка выплат гражданам
Здравоохранение/Медицина;там полная жопа,чтоб попасть к терапевту,нужно сначала отстоять очередь из 100 человек за бланками,их заполнить и идти в очередь;Очередь
Погребение и похоронное дело;, а у нас нет! Мы вынуждены им отправлять, что похоронить в Перми ,а не на окраине города! Кто то очень не хочет лишатся;Погребение и похоронное дело
Строительство и архитектура;оставшиеся гаражи.> Гаражи находятся в частной собственности, администрация к ним никакого отношения не имеет. Обеспечение сохранности имущества - задача собственников. Если вам нанесен ущерб просьба незамедлительно обратиться;Состояние зданий учреждений и организаций
Мусор/Свалки/ТКО;площадку ТКО на новом Южном? Не одной площадки нет,;★ Отсутствие контейнерной площадки/Проезд к контейнерной площадке
Образование;'Скажите пожалуйста документы можно отправить по электронной почте или надо подойти;Устройство в ДОУ
Дороги;А под лужей яма. Спасибо;Подтопление автомобильных дорог
Физическая культура и спорт;главный вопрос для лыжной базы - а что с лыжными трассами - это для именно лыжной базы как;Строительство спортивной инфраструктуры
ЖКХ;'Сообщение без текста;★ Прорыв трубы/трубопровода
Благоустройство;будут торчать только;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
Образование;уютное здание... Так как поступили с детским садом №;Содержание гос. образовательных организаций
Дороги;'За городом, Култаево;Работа светофора (установка, изменение режима работы, оборудование кнопкой вызова)
Благоустройство;на трамваях, не смотрят в окна.;Борщевик Сосновского
Социальное обслуживание и защита;инвалиды новогодние подарки или приглашения;Инвалиды
Дороги;этого сложнейшего вопроса.Анонимно пожалуйста.;★ Несоблюдение правил уборки проезжей части
Коронавирус;вызов не приезжают!;Сертификаты и QR-коды
Дороги;причяльная в районе бывшего лесозавода. Сейчас лужа а вечером;Ливневые канализации (строительство и реконструкция)
Благоустройство;краснояре нет света,где ?как дети должны в такую темноту возвращаться домой,куда;★ Неисправные фонари освещения
Образование;этого года нам обещали начать строить школу в жк Медовый, и всё ещё ни кто ни собирается начинать строительство, скажите пожалуйста когда уже начнут строить школу нам? Точные сроки начало строительства могу я узнать? Школа одна в Кондратово,;Строительство школ, детских садов
ЖКХ;на новые лифты. А в старых домах ремонта нет и небудет. Только цену могут повышать за свои услуги. Как ук. Пр приказу Перми или Пермского края. За кв/метров.;Некачественный капитальный ремонт
Образование;на получение квалификационного аттестата?;Дополнительное образование
Коронавирус;Просто лежать и ждать;Жалобы на врачей
ЖКХ;'У нас отключили воду уже второй день, как мы должны;Отсутствие холодной воды
Здравоохранение/Медицина;26.07.2022г моя мама (Лепихина Валентина Алексеевна 30.05.1953гр) пришла на приём к терапевту в поликлинику №3 ГБУЗ ПК ГКП № 5, где после осмотра врач-терапевт выписала ей направление Cito! в стационар ГКБ №7 в кардиологическое отделение с подозрением на инфаркт (с собой был;Хамство медицинских работников
Благоустройство;пойдут в школу из школы.Много лет у нас был свет на улице, а сейчас что;Отсутствие фонарей освещения
Дороги;в сторону Цума и вообще не осищена,;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
Экономика и бизнес;в магазинах сейчас уже;Цены и ценообразование
ЖКХ;крыльца у подъезда? Тоже долго ждем ремонт. А вчера;Неисправность выступающих конструкций: балконов, козырьков, эркеров, карнизов входных крылец и т. п.
Роспотребнадзор;Березники Юбилейная 130, подвал затоплен, вонь невыносимая в подъезде и крысы живут;Обработка и уничтожение грызунов (дератизация)
Образование;дали. Мне посочувствовали и сказали, что скоро начнут заполнять системы и тд, и что ОТВЕТСТВЕННЫЙ ЗА ТЕМПЕРАТУРУ В УЧРЕЖДЕНИИ - ЭТО ОТВЕТСТВЕННЫЙ ЗА ДЕТ САД, якобы руководство! Я спросила, каким образом руководство влияет на центральное отопление и температуру в саду? В каждую группу из дома обогреватели принесёт? И почему вообще в крае дали, а в столице края нет? Вот уже прошло 6 часов, а ответа нет! Зато сейчас читаю пост в группе сада, и отопление дали во всех корпусах, все начали жаловаться, потому что холодина невозможная, ребёнок заболел! Вот они - вышестоящие;Проблемы с отоплением детских садов и школ
Благоустройство;не надо. Приведите в порядок подпорную;Ненадлежащее состояние фасадов нежилых зданий, объектов и ограждений
Благоустройство;садом Созвездие по дорожке ездит мини трактор, видимо для уборки территории, но вот он своими колёсами разрушает асфальтовое покрытие в этом небольшом скверике. Можно как то попросить не заезжать на территорию трактором и не портить;Разрушение тротуаров и пешеходных дорожек
Здравоохранение/Медицина;принципе не существует)Есть тироксин, есть эутирокс. Всё!!! Никаких аналогов. И именно этих лекарств нет в аптеках.На мой вопрос в личных сообщениях Минздраву, к каким именно аналогам я должна присмотреться, просто тупо меня;Отсутствие лекарств в аптеках
Дороги;асфальт не кладут на улице садовая 25-27, сроки вышли;Нарушение технологии и (или) сроков производства работ
Коронавирус;вакцинировался откуда стока больных значит ваша;Коронавирус
Экология;автобусов и все автобусы из региона приезжают на ЦРК и люди идут по свлим делам через эту вонь. Это нормально вообще? Рынок и так далеко не самое приятное место города, так ещё и воняет жутко. Ладно посетители, а как людям,;Выбросы вредных веществ в атмосферу/загрязнение воздуха
Благоустройство;в Кировском районе невозможно нормально набрать воды в роднике из-за ремонта набережной.Ладно Я молодой,пролез там,спустился кое-как.А как быть;Разрушение тротуаров и пешеходных дорожек
Благоустройство;с колясками, бабушкам и дедушка.[id628987039|Алексей Дёмкин] прошу обеспечить НОРМАЛЬНЫЙ проход граждан по указанному тротуару. Тротуар это общественное пространство, муниципальная собственность и ни одна паскуда не имеет его захватывать.Друзья, делайте репосты и расскажите о ситуации друзьям и знакомым. Огласка может помочь остановить оккупантов.;Самовольная установка ограждений на территории общего пользования
Коронавирус;03.22Поликлиника на КуфонинаНа каком основании прививки такие предлагают, такая же ситуация и в железнодорожной поликлиникеПрошу;Доступность вакцин
Благоустройство;бедные пациэнты, не куда выйти, воздухом подышать, просто присесть;★ Отсутствие урн, лавочек в общественных местах и дворовой территории
Строительство и архитектура;Но воз и ныне там((. Помогите!! С уважение собственник земли;Строительство зданий
Здравоохранение/Медицина;на то, что вам ответят и на то, что сделают. У меня сложилось;Нехватка или сокращение врачей и медицинских учреждений
Дороги;бывает и на Стаханке!!!!!;Работа светофора (установка, изменение режима работы, оборудование кнопкой вызова)
Социальное обслуживание и защита;"деньги,а лекарств даже самых необходимых и копеечных нет,покупайте за свой счет,почти весь персонал,который ухаживает за лежачими сокращен,ухаживать некому,люди просто лежат и памперсы поменять некому,люди гниют и скоро от пролежней умирают,вы посмотрите кладбище просто выросло за время карантина и никому нет дела до этих людей-в дом инвалидов не пускают.Все обращения отчаянных людей или игрорируются или все проверки ничего не дают,потому что начальство дома инвалидов предупреждают и все спускается на тормоза,якобы люди больные.Любые жалобы"" подопечных"" наказываются.Люди лежат в тараканах и даже не могут докричаться,чтоб убрали тараканов,потому что некому.Условия ужасающие и удручающие.В кабинетах дома интернат сидят бесчеловечные,бесжалостные фифы,которые не видят в своих ""подопечных""ни людей,ни";Инвалиды
Благоустройство;должны расходится друг с другом в этом узком и длинном переходе??? Особенно тяжело будет мамам с колясками, бабушкам и дедушка.[id628987039|Алексей Дёмкин] прошу обеспечить НОРМАЛЬНЫЙ проход граждан по указанному тротуару. Тротуар это;Самовольная установка ограждений на территории общего пользования
Экономика и бизнес;за оплату жилья энергии и т.д.а то сказали повысят и тут же цены растут,не видете;Цены и ценообразование
Общественный транспорт;короткие дак плюс еще количество шт на рейсе мало. Кто ездит на 7;Изменение класса и количества автобусов
Благоустройство;видео только часть, из-за маленького роста не видно;Борщевик Сосновского
Дороги;Уинская не будет;Строительство или реконструкция дорог
ЖКХ;'Здравствуйте, можно ли здесь задавать вопрос по;Плата за ЖКУ и работа ЕИРЦ
Памятники и объекты культурного наследия;садика к ДК. Это какая никакая маленькая история города. Сколько поколений выросло рядом с ней. Да и;Памятники и объекты культурного наследия
Здравоохранение/Медицина;Банникова Татьяна Валерьевна, г. Пермь;★ Просьбы о лечении
Дороги;'😡 Мы, жильцы дома;Освещение неисправно или отсутствует
Социальное обслуживание и защита;ужасно! Мне например очень трудно поднимать коляску! И просто удивительно;Создание доступной среды для инвалидов
ЖКХ;добрый... 23 февраля муж замечает в часов 10;★ Протечки с кровли (системы водостока)
Экология;воняет жутко. Ладно;Выбросы вредных веществ в атмосферу/загрязнение воздуха
Социальное обслуживание и защита;на ёлку в этом году?;Инвалиды
Благоустройство;яблони, вот прям на фото они😢;Вырубка деревьев, кустарников
Здравоохранение/Медицина;мой вопрос в личных сообщениях Минздраву, к каким именно;Отсутствие лекарств в аптеках
Здравоохранение/Медицина;поликлиниках врачи получают доплату за ковидных больных, а участковые медсестры;Социальная поддержка медперсонала
Мусор/Свалки/ТКО;в нагорной,на улице даже мусорных контейнеров;Проблемы с контейнерами
Электроснабжение;КАК ЭТО БЫЛО осуществлено!!!!;Качество электроснабжения
Благоустройство;размывала саму дорогу, но этого не;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
Здравоохранение/Медицина;человек. В программе написано что выплаты есть, но отдел кадров утверждает что нет. Можно поинтересоваться есть такие;Социальная поддержка медперсонала
Общественный транспорт;срочно вернуть! Вся транспортная реформа, это;Изменить или отменить маршрут
Благоустройство;Зачем это нагадил?;★ Отсутствие урн, лавочек в общественных местах и дворовой территории
Дороги;переход от дамбы до птицы? Лучше бы;Необходима установка и замена дорожных ограждений
Общественный транспорт;в грубой форме ответил - выходим или вызываю милицию. Мы вышли. Но придя домой я звоню диспетчер у и объясняю ситуацию на что диспетчер говорит что я была пьяная. Я говорю громко. Это профессионально, т. к. У нас очень шумно в цехе и мы разговариваем громко, с ней я то же говорила громко ещё и на эмоциях. Почему убрали автобусы;Некорректное поведение водительского состава
Государственная собственность;здание бывшего хлебозавода?;Региональное имущество
Образование;онлайн подать заявление на сдачу ЕГЭ выпускнику;ЕГЭ, ОГЭ
Общественный транспорт;автобус по старому маршруту, а именно, чтобы он проходил через м- он Пролетарский.Раньше до м-она Крым можно было добраться без пересадок, а теперь нужна пересадка.Если нет транспортной карты, нужно заплатить 66 рублей в один конец и столько же в другой, для пенсионеров это;Изменить или отменить маршрут
Образование;"годы, когда он вообще не выпускает учителей по некоторым предметам. Как поживают школы ""слитые"" г-жой Гаджиевой? Они показывают какие-то замечательные";Нехватка мест в школах
Дороги;стояла, можно было за лето навести порядок. Напишите, пожалуйста, сроки окончания работ;★ Некачественно нанесенная разметка на проезжей части
Образование;же,к примеру участковые-специально обученные и квалифицированные люди.Ну посади такого ,пусть меняются на видионаблюдение.Это ж несложно сделать.Я вот не думаю,что сейчас столько криминала,сколько полицейских.Ну;Безопасность образовательного процесса
Образование;даже сходить некуда;Дополнительное образование
Строительство и архитектура;"уж ""строиться', а конца не видно👎может туда всё силы и средства бросить, а мы уж как";Строительство социальных объектов
Дороги;отдельно полосы для;Пробки
Дороги;которую перевернули засыпают, кто то будет принимать;Содержание, ремонт и обустройство тротуаров
Здравоохранение/Медицина;людям с нарушениями щитовидной железы, коей она и;Отсутствие лекарств в аптеках
Социальное обслуживание и защита;АМО 80 тыс;Социальные учреждения
ЖКХ;о помощи, может вы решите эту проблему. Бежит канализация с финского поселка и ЖКХ ни как не желает решить;Другие проблемы с общедомовой системой водоотведения (канализации)
Роспотребнадзор;Березниках нашествие насекомых по адресу О. Кошевого 12. Облеплен весь подъезд и через канализацию;Санитарно-эпидемиологическое благополучие
Социальное обслуживание и защита;льготы при проведении газа,если в семье воспитывается ребенок;Инвалиды
Торговля;'Сколько можно туда;★ Нестационарная торговля (киоски, павильоны, сезонная торговля)
Здравоохранение/Медицина;лежали там с пневмонией дочке было на тот момент 3;Хамство медицинских работников
Экология;люди идут по свлим делам через эту вонь. Это нормально вообще? Рынок и так далеко не;Выбросы вредных веществ в атмосферу/загрязнение воздуха
Коронавирус;Мотивируют, что вакцины;Доступность вакцин
Торговля;туда обращаться,надоело уже,;★ Нестационарная торговля (киоски, павильоны, сезонная торговля)
Благоустройство;чистит УК, и директору все пофиг, тариф;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
Спецпроекты;Доброе утро! На остановке Героев Лядова вновь появился запах канализации. Запах;Спецпроекты
Образование;в городе Березники Пермский край главврач Конев;Кадровые перестановки
Благоустройство;год. Там можно;★ Неисправные фонари освещения
Дороги;трубы частично залатали;Ремонт дороги
Общественный транспорт;нормально всё объезжал...;Изменить или отменить маршрут
Мобилизация;100000 тысяч рублей от губернатора.;Зарплата, компенсации, поощрения, выплаты
Образование;должен быть в школе для многодетных, для ребенка;Питание
Мусор/Свалки/ТКО;тему извините, а скажите у меня вопрос по раздельному сбору мусора, когда планируется установка специальных контейнеров? адрес;Раздельная сортировка отходов
Образование;на дистанте? Пусть ходят;Дистанционное образование
"МФЦ ""Мои документы""";на горячую линию губернатору273.73.01,где сказала,что не было никакого сопровождения!!! Звонила на тел.министра: 317.77.40.,где тоже сказала,что не было сопровождения,так Вы намкаком основании от 17.11.даете ответ что с вами всегда сопровождение Мирошниченко Любовь Петровна,которая лично подтверждает,что она уволилась7ноября! Вам кто дал право ложные ответы давать???? Деньги на открытие своего дела только;Государственные услуги
Общественный транспорт;что это такое?;Содержание остановок
ЖКХ;соседи делают ремонт,;Перепланировка и реконструкция помещений
Безопасность;буду обращаться в другие инстанции чтобы наказать за полный игнор по;Безопасность общественных пространств
Социальное обслуживание и защита;приглашения на ёлку в этом году?;Инвалиды
Социальное обслуживание и защита;следующий год внучка пойдёт в первый класс. А пока у неё;Дети и многодетные семьи
Здравоохранение/Медицина;или иных медпрепаратов?;Отсутствие лекарств в стационарах
Дороги;Добрый день. На перекрестке Карпинского формавщиков постоянно на пешеходном переходе сбивают людей. Пожалуйста , примите меры, светофор или другие варианты перехода дороги в этом месте. Например заблокировать;Организация переходов, светофоров/Изменить организацию движения
Социальное обслуживание и защита;написать- не могу получить продление на инвалидность.инвалидность закончилась 30 мартаМой адрес г.;Создание доступной среды для инвалидов
Благоустройство;более 3-х лет, а обещанной дороги как не было, так и нет до сих пор. Мэру надо заняться делами, а не париться, в каждой газете его фото, свадебный генерал, не более, сам не вспотел;Уборка территорий
Здравоохранение/Медицина;проблему. Такое же обращение мы отправим на имя Губернатора Д Н Махонина и будут выделены деньги на преобретение нового аппарата.С;Нехватка материально-технического обеспечения
Дороги;кто обслуживает дорогу в с. Тюндюк к. Маркса? Труба через дорогу замерзла, вода с;Подтопление автомобильных дорог
Социальное обслуживание и защита;статус нуждающихся для;Улучшение жилищных условий
Благоустройство;туда проникать.Что они;Ненадлежащее состояние фасадов нежилых зданий, объектов и ограждений
Коронавирус;откуда такой прирост, после затишья? Люди стали больше;Коронавирус
Благоустройство;чтоб они не страдали. А остановка драм театр. Это же клоака. Летом деревья закрывают а зимой снег. И хорошо. Не видно. А весной. Можно пережить этот бардак. В этих кустах на;Разрушение тротуаров и пешеходных дорожек
