Группа тем;Текст инцидента;Тема
Благоустройство;там страшные дома.;Ненадлежащее состояние фасадов нежилых зданий, объектов и ограждений
Благоустройство;день (11.07) , приходится обходить;★ Нарушение правил уборки и вывоза порубочных остатков
Благоустройство;Чайковского от Куйбышева 2 до Пушкина - два фонаря на;Отсутствие фонарей освещения
Образование;медицинским специальностям, подскажите пожалуйста где об этом можно узнать;ВУЗы и ССУЗы
Строительство и архитектура;вообще все очень странно. Иву планировали застроить комплексно. Через конкурсы же все проводилось. В итоге люди купились на соцобьекты.;Строительство социальных объектов
Дороги;вышестоящие органы, тк;★ Несоблюдение правил уборки проезжей части
Дороги;в частном секторе вдоль дороги есть водоотводные канавы, подрядчик их прочищает по мере засорения. В летний период для избежания;Подтопление автомобильных дорог
ЖКХ;в 2-х этажном доме, в 1 комнатной квартире 32 квадрата. В прошлом году за отопление я платила 1400 р, была субсидия, а сегодня я узнаю,;Плата за ЖКУ и работа ЕИРЦ
Здравоохранение/Медицина;иначе не подпишут;Вакцинация
Социальное обслуживание и защита;бывшим мужем в коммунальной квартире. Комната в которой была прописана по договору соц.найма. Я в 2014 году оплатила все долги по коммунальным платежам. Это порядка 250000тыс. Средства были;Улучшение жилищных условий
Здравоохранение/Медицина;Горнозаводске делают анализа на;Диспансеризация
Строительство и архитектура;комплексно. Через конкурсы же все проводилось. В итоге люди купились на соцобьекты. А их и не думают строить. С одной;Строительство социальных объектов
ЖКХ;воды, ПАО «Т Плюс» сказали, что сеть бесхозная и обращаться в администрацию! Решите нашу проблему!!! Мы;Отсутствие горячей воды
Здравоохранение/Медицина;за дела ? Куда смотрит администрация больницы ????Как должны пенсионеры подниматься по ступенькам , а инвалиды колясочники ????? Какое не уважение к людям , можно же наверное что то сделать чтоб этот лифт заработал !!!! Постоянно какая то хрень в больницах!!!!ничего не могут облагородить!!!Видео от;Содержание больниц
Экология;надо. Садик построят, машин толпа будет, ничего тут строить не надо. В наших;Выбросы вредных веществ в атмосферу/загрязнение воздуха
Благоустройство;за содержание жилья мы платим полностью. Мало того наш аварийный дом приравняли к коттеджу и;Ненадлежащее состояние фасадов нежилых зданий, объектов и ограждений
Безопасность;окна квартиры на девятом этаже. Когда мама ребёнка уснула, ребенок вылез из кроватки и залез на подоконник, самостоятельно открыл окно и сорвался с высоты примерно 20;Безопасность общественных пространств
Торговля;центральных улиц города.;★ Нестационарная торговля (киоски, павильоны, сезонная торговля)
Образование;почему только с 5 класса тогда . Детям младших;Питание
ЖКХ;кап ремонт пенсионеру старше 80лет?;Сборы за капитальный ремонт
ЖКХ;На основании этой;Жалобы на управляющие компании
"МФЦ ""Мои документы""";до сих пор нет официального ответа;"МФЦ ""Мои документы"""
Образование;обучение продлевать будут?;Дистанционное образование
Социальное обслуживание и защита;пожалуйста до какого времени;Социальные учреждения
Здравоохранение/Медицина;Подскажите пожалуйста. У нас такой;Социальная поддержка медперсонала
Мусор/Свалки/ТКО;проблемой... скажите пожалуйста какой на сегодня долг?;Плата за вывоз ТКО
Образование;от администрации Перми для ребенка 5 лет. И в какой орган обратиться для;Дополнительное образование
Безопасность;около дома в поисках пропитания.Пермяков напугала;Отлов безнадзорных собак и кошек
Социальное обслуживание и защита;положены матери одиночке на ребенка до 18 лет или только статус;Матери-одиночки, подростки
Общественный транспорт;развязки. А пешеходный переход нужно приводить в состояние, соответствующее современному пониманию комфорта. Сейчас он холодный, плохоосвещённый. Эскалаторы можно сделать и тогда не надо будет вешать световое информационное табло внутри, как пользоваться подъемником;Пешеходные переходы и жд переезды
Общественный транспорт;4 дня из;Проблемы с социальными картами или проездными документами
Благоустройство;труда.Спасибо конечно и на этом, но я все равно;★ Нарушение правил уборки и вывоза загрязненного снега и наледи на газоне
Здравоохранение/Медицина;"2022"" появится на сайте";Социальная поддержка медперсонала
Коронавирус;взимать плату за такие;Проблемы в работе горячих линий
Дороги;хуже...страшно уже ездить;Ремонт/строительство мостов
Благоустройство;и лужами, иногда вся дорога — это грязное болото. Очень нужна эта дорога от дома. Сейчас там построили два новых дома и мы уже не одни такие, которым приходится ездить только через базы. Если от нас нужны;Установка ограждений, препятствующих въезду на тротуар, газон на дворовой территории МКД
Здравоохранение/Медицина;- Попков Алексей;★ Скорая помощь
ЖКХ;Плеханова залило горячей водой.;★ Прорыв трубы/трубопровода
Образование;заведений, пройдёт по баллам и будет зачислен во все учебные заведения, в которые подавал заявление,;ВУЗы и ССУЗы
Мусор/Свалки/ТКО;семье два ребенка инвалида , договор на вывоз;Плата за вывоз ТКО
Социальное обслуживание и защита;'Здравствуйте.Как получить пособие;Оказание гос. соц. помощи
Образование;?Мы поживает в Мотовилихинском районе ул. Блочная 10 км ( ул. Ст. 10 км до. 1 и 2 ). И я не могу подать заявление в первый класс в ближайшую школу, почему мы должны идти на свободные места. Когда соседские дети;Нехватка мест в школах
Газ и топливо;схеме отключили газ с 11.07.2022. До сих пор разбираются кто виноват, а мы без Газа.....и помыться не;Восстановление газоснабжения
Образование;на счёт образования для мамочек в декрете. В городе Соликамск ?;Образовательный процесс
Социальное обслуживание и защита;перевод в частности,;Волонтерство
Общественный транспорт;крен,вот вот обрушится и задавит пассажиров;Содержание остановок
Образование;9 класса. Сами не местные. Есть статус малоимущих. Есть ли возможность получать социальную стипендию? И есть ли там бесплатные;Выплаты стипендий
Дороги;но не смог найти ответ в комментариях на свой вопрос.;Предложить установку нового лежачего полицейского (ИДН)
Социальное обслуживание и защита;рухнет по новой.За что только плачу? Содержание жилья 1541 рубль, одна уборщица работает и капитальный ремонт 683;Аварийное жилье/переселение
Социальное обслуживание и защита;до какого времени вы позакрывали интернаты ПНИ Пермского краяВедь в Коспашском;Социальные учреждения
Благоустройство;На данный момент спилили половину, вторую часть так;Вырубка деревьев, кустарников
Мусор/Свалки/ТКО;учреждении, возможно ли получить сертификат об участии в;Раздельная сортировка отходов
Здравоохранение/Медицина;всегда КОМПЬЮТЕР НЕ РАБОТАЕТ!!! Какого хрена тогда;Нехватка материально-технического обеспечения
Дороги;въезд,по другой выезд..;Содержание дорожных знаков/Установка новых дорожных знаков, с внесением в схему дислокации, замена старых знаков на новые
Общественный транспорт;18 бы продлили до Садового;Изменение класса и количества автобусов
Благоустройство;когда будут сносить? Какие там;Ненадлежащее состояние фасадов нежилых зданий, объектов и ограждений
Физическая культура и спорт;спортом то заняться;Строительство спортивной инфраструктуры
Благоустройство;идти после 7;Отсутствие общественных туалетов
ЖКХ;Админестрация вы че , за что мы платим вот за такую воду?! Или акцент сделали на том чтоб каждый по литров сто в день её пропускал чтоб она чистая побежала , вы куда смотрите? Весь город уже жалуется на;Плохое качество воды
Здравоохранение/Медицина;больницу детскую,а дети на 30 кв;Предложения по созданию лечебных центров
Мусор/Свалки/ТКО;вывалил мусор на дорогу;Выброс мусора нарушителем
Благоустройство;Парковому проедет увидите;★ Парковка на газонах
Образование;, сделайте в каждом дворе спорт площадки , уберите с полок открытую продажу алкоголя , запретите рекламу даже безалкогольного пива и будет вам счастье ...А когда ребёнок хочет заняться спортом , а секция в месяц обходится в;Дополнительное образование
Мусор/Свалки/ТКО;Уфимский,14 устанавливает себе контейнерную;★ Отсутствие контейнерной площадки/Проезд к контейнерной площадке
Благоустройство;от завода серые и страшные ,преобразовать в арт объект;Предложение по благоустройству
Коронавирус;скорая, неотложка, поликлиника трубки не берет) вызвали врача на дом. Вечером по телефону позвонила женщина с неотложки, назначила лечение по телефону. Отправила нас в поликлинику сдавать тест пешком. На вопрос о том, что у нас температура 39 , сказала, что придется все равно ехать;Тесты на коронавирус
Общественный транспорт;маршрута №5 не идёт до конечной остановки;Изменить или отменить маршрут
Экология;Перми.Пришли сегодняпогулять с собакой на Андроновский пруд и увидели такое безобразие .В пруд сброшен грунт в перемешку с бордюрами ,корнями деревьев и колесами.Как будто где то благоустраивали дорогу ,а остатки сбросили а пруд.То туда нечистоты;Выбросы вредных веществ в водоёмы/загрязнение водоёмов
Социальное обслуживание и защита;нас ребенок-колясочник. практически везде приходится поднимать на себе;Создание доступной среды для инвалидов
Коронавирус;кто отказался отчисляют???;Коронавирусные ограничения
Мусор/Свалки/ТКО;перед подъездом и за домом , где только выгребли все. Сколько раз делали замечание и все нипочем.;Выброс мусора нарушителем
ЖКХ;Нужны ли разрешения, где;Перепланировка и реконструкция помещений
Дороги;улицы Мира у;Ремонт дороги
Образование;Мы стоим в;Устройство в ДОУ
Электроснабжение;частном секторе,и столбами которые вот вот;★ Повреждение опор ЛЭП
Дороги;мост нужен из курьи на;Ремонт/строительство мостов
Благоустройство;чуть плитами прикоыты.;★ Открытые канализационные люки
Образование;в классе? Какой;Общее впечатление
Образование;Пермском крае с предоставлением жилья?;Социальная поддержка учителей
Мусор/Свалки/ТКО;'Добрый день. Подскажите, возможно ли в подъездах поставить контейнеры для;Проблемы с контейнерами
Здравоохранение/Медицина;в один кабинет;Очередь
ЖКХ;компании. Вы зачем красные ленточки повесили около дома по Молодежной 11. Этим вы нас предупредили, что сойдет снег, дак мы и без ленточек знаем, что он сойдет. Или вы как то спасете ленточками нас. Знайте если с нашей крыши пойдет снег путей отступа у нас нет. Вы господа не ленточки цепляйте, а что то делайте с крыше пока не случилась беда. Вы только подумайте человек попадет под завал он может и выживет, а вот кому то из управляющей компании придется нести наказание. Вам не жалко людей, дак включите хотя бы свой;★ Наледь и сосульки на кровле
Благоустройство;ул.Балахнина, 2 года ждём!;Предложение по благоустройству
Дороги;на светофор и решена проблема;Работа светофора (установка, изменение режима работы, оборудование кнопкой вызова)
Дороги;как перейти дорогогу.;Работа светофора (установка, изменение режима работы, оборудование кнопкой вызова)
Здравоохранение/Медицина;лечение почему то своими препаратами. Диагноз сахарный диабет и гипертония. Назначение витамины и;Отсутствие лекарств в стационарах
Дороги;'22 мая ( вчера) приезжала через Камгес в 17.30 !! Рабочих никого, тоесть ноль !!! Кто делает ремонт моста?;Ремонт дороги
Роспотребнадзор;а не город, строят развлекательные;Обработка и уничтожение грызунов (дератизация)
Дороги;ответ в комментариях на свой вопрос.;Предложить установку нового лежачего полицейского (ИДН)
Благоустройство;родители провожали детей в школу;Отсутствие фонарей освещения
Дороги;всегда всё для удобства🙈, дорожка для бега, велосипедистов, а родителям по этим дорогам чтоб просто пройтись с детьми одно беспокойство, только за руки держать и какой это отдых ?! По тропинке хоть есть возможность отпустить ребенка чтоб он сам шёл бежал, а так и самокаты, велосипедисты, бегуны😏. Вот как там всё просчитываете и думаете!!!!????;Содержание, ремонт и обустройство тротуаров
Благоустройство;это лежит прямо на пешем тротуаре;★ Нарушение правил уборки и вывоза порубочных остатков
"МФЦ ""Мои документы""";о зарегистрированных лицах Теплоэнерго может запросить самостоятельно в общей базе данных, так ли;"МФЦ ""Мои документы"""
Газ и топливо;когда я на днях пришла в краснокамаке в соц.защиту с документами по;Стоимость, оплата и возврат средств на газификацию
Образование;"Скажите, пожалуйста, я являюсь молодым специалистом, должность ""воспитатель"". Знаю, что есть единоразовая выплата для молодых специалистов,кто";Социальная поддержка учителей
Образование;какому учебному учреждению?;ВУЗы и ССУЗы
Образование;Москве выпускников меньше? Или у нас проблемы;ЕГЭ, ОГЭ
Образование;от школы ?Мы поживает в Мотовилихинском районе ул. Блочная 10 км ( ул. Ст. 10 км до. 1 и 2 ). И я не могу подать заявление в первый класс в ближайшую школу, почему мы должны идти на свободные места. Когда соседские дети уже больше 5 лет ходят в;Нехватка мест в школах
Благоустройство;понедельник, что с;Ненадлежащее состояние фасадов нежилых зданий, объектов и ограждений
Благоустройство;растёт борщевик. Внимание вопрос: Кого штрафовать будем? Себя любимых;Борщевик Сосновского
Здравоохранение/Медицина;у раковины ночью, отправила. Ответ пришёл незамедлительно, в котором писалось что нет доказательств,;★ Питание в медицинских учреждениях
Благоустройство;затопляют его.А почему только всё вдоль Егошихи;★ Подтопление территории
Безопасность;сын - 15). Собаки гуляют. Страшно отпускать детей в школу и водить в сад. Собаки агрессивные. Примите меры;Отлов безнадзорных собак и кошек
Благоустройство;кто нибудь упал, сломал, утонул???;★ Открытые канализационные люки
Роспотребнадзор;возле мусорного контейнера у стахановская;Обработка и уничтожение грызунов (дератизация)
Социальное обслуживание и защита;сайт труд всем посмотрел нет вакансий в карагайском районе и сивинском тоже нет - как так то ?;Занятость и трудоустройство
ЖКХ;швы все голые,я;Залитие квартиры
ЖКХ;спасибо за ответ!;Перепланировка и реконструкция помещений
Благоустройство;дружба будет? Сама не может в мире жить и;Самовольная установка ограждений на территории общего пользования
Дороги;вернули! Всё? Поиграли в безопасность и хватит?;Предложить установку нового лежачего полицейского (ИДН)
Образование;количество учеников допустимо в классе? Какой;Общее впечатление
Благоустройство;нашем дворе -так же! В Дзержинском районе!;★ Ямы во дворах
Электроснабжение;написали, и не;Качество электроснабжения
ЖКХ;а платить как за горячую;Отсутствие горячей воды
Мусор/Свалки/ТКО;нас решается этот;Выброс мусора нарушителем
Образование;из книг и учебников, а;Безопасность образовательного процесса
Социальное обслуживание и защита;обратиться по поводу признания квартиры непригодной для;Аварийное жилье/переселение
Общественный транспорт;в Усть -;Добавить новый маршрут
Электроснабжение;как то связано?!;Качество электроснабжения
Благоустройство;постоянно закрыты или на ремонте а куда;Отсутствие общественных туалетов
Благоустройство;Приехали на газели с тентом, втроем;★ Нарушение правил уборки и вывоза порубочных остатков
Благоустройство;'Здравствуйте, по Репина 51 Пермь топит дома, по обращением в;★ Подтопление территории
Дороги;поставить на светофор и решена;Работа светофора (установка, изменение режима работы, оборудование кнопкой вызова)
Благоустройство;И ещё хотелось бы ещё добавить лавочек для взрослых и пожилых;★ Отсутствие урн, лавочек в общественных местах и дворовой территории
Социальное обслуживание и защита;положением, использует информацию не по назначению, в корыстных целях касаемо меня, что негативно складывается на моей;Соц.обслуживание прочее
Социальное обслуживание и защита;'[club158336361|Министерство социального развития;Волонтерство
Здравоохранение/Медицина;информацию!В Кондратово тоже будет диспансеризация?;Диспансеризация
Здравоохранение/Медицина;медработников должна быть достойной. Любопытно: есть информация;Низкая заработная плата врачей
Газ и топливо;отключили газ с 11.07.2022. До сих пор разбираются кто виноват, а мы без Газа.....и помыться не можем т.к. стоят газовые колонки.Тоже обращались;Восстановление газоснабжения
ЖКХ;самооблажения? По нашей улице нету и центрального водоснабжения и уличного освещения. По моему понятию где выделяются земли на строительство там должны быть вода;Подключение к водоснабжению
Связь и телевидение;день рождение пос. калинина;★ Информационно-техническая поддержка
Благоустройство;формы со времен советской власти!;★ Ненадлежащее состояние игровых элементов на детской или спортивной площадке
Общественный транспорт;ездите , доходы и так упадут за перевозки.;Льготы на проезд и тарифы
Здравоохранение/Медицина;больницу не дозвониться;Технические проблемы с записью на прием к врачу
Образование;получить ссылку на приказ;Выплаты стипендий
Физическая культура и спорт;получить документы для присвоения разряда? Организаторы группы пермский марафон не знают чем мне помочь. Также, я оплатил за медаль с гравировкой результата, но мне её не;Спортивные мероприятия
Дороги;города Лысьвы], уточните, 31 октября какого года?!!;Содержание, ремонт и обустройство тротуаров
ЖКХ;и наказание дать;Другие проблемы с общедомовой системой водоотведения (канализации)
ЖКХ;слесаря, посмотрели и;Жалобы на управляющие компании
Образование;день. В нашем городе Лысьва построили новую школу Лицей ВЕКТОРиЯ на 1100 мест. Так как она новач и более оснащенная чем другие школы все детки хотят учиться в ней. НЕ смотря на прописку набор идет со всех микрорайонов города и в итоге;Образовательный процесс
Мусор/Свалки/ТКО;дома, свердловский район ул. Весенняя 7. Здесь есть небольшой парк, за которым никто не ухаживает, на углу это парка и процветает мусор. Хотелось бы облагородить немного данный парк,;★ Стихийные свалки в городе/в парках/в лесу
Благоустройство;в очереди стоим.;Благоустройство придомовых территорий
Образование;почти на дистанте в Перми, кроме ПГАТУ.;Дистанционное образование
Социальное обслуживание и защита;компанию, мы туда отвозим вещи?;Волонтерство
Благоустройство;Дружбы,3 как был открыт,;★ Открытые канализационные люки
Дороги;в месиво !!!????;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
"МФЦ ""Мои документы""";на dom.gosuslugi.ru при выборе темы обращения появляется;Государственные услуги
Экономика и бизнес;плюс дополнит выплата;Трудоустройство
Благоустройство;чтоб по мехоношина 12;Отсутствие детских площадок
Благоустройство;был сделан для людей, проживающих на Волховской 32,34 а, Лаврова. Лишнюю территорию захватили для спортивной площадки! Вспомните, как это было! Сейчас от спортивной площадки ничего не осталось! Зачем им сейчас освещаемый тротуар? Пусть;Самовольная установка ограждений на территории общего пользования
Коронавирус;ей в 200 руб., но получить информацию так и не удалось, она звонила в течение нескольких часов, на том конце провода робот только давал промежуточные ответы, какая она в;Проблемы в работе горячих линий
Здравоохранение/Медицина;эту больницу ,возят детей в Усолье ,не ближний свет добираться до туда .Недождемся никогда новерное уже новой;Содержание больниц
Дороги;администрация молчит. С утра зато освещение до 8.00 есть;Освещение неисправно или отсутствует
Общественный транспорт;'Проездные где покупать?;Льготы на проезд и тарифы
Дороги;отсутствуют решетки на ливнеприемниках по ул.Старцева и отчего дерево играет функцию временного;Ливневые канализации (строительство и реконструкция)
Образование;приказ о губернаторских;Выплаты стипендий
ЖКХ;бы знать, когда будет кап ремонт, назн;Некачественный капитальный ремонт
Дороги;находится в ненормативном состоянии, тем самым разрушаю дорожное;Строительство или реконструкция дорог
Торговля;тротуара, перекрёсток писарева-Карбышева. Раньше тут были полезные продуктовые киоски, их все снесли типа не нужны и вот;★ Нестационарная торговля (киоски, павильоны, сезонная торговля)
Благоустройство;по сей день люк открыт.;★ Открытые канализационные люки
Здравоохранение/Медицина;тут случилась военная операция ...и воз и ныне;Нехватка или сокращение врачей и медицинских учреждений
Здравоохранение/Медицина;Кочканарскую 47, так как на Мозырьской Красная зона. СЛОЖНО ВЗЯТЬ ТРУБКУ И СООБЩИТЬ ОБ ЭТОМ, люди с температурой колесят;Технические проблемы с записью на прием к врачу
Дороги;обычное весеннее состояние дорог, которые расположены в низине. Естественное подтопление во время паводка. В данном случае, если в частном секторе вдоль дороги есть водоотводные канавы, подрядчик их прочищает по мере засорения. В летний период;Подтопление автомобильных дорог
Культура;по времени награждения. Выше мне написали, что дочка моя Антонова Полина входит в список. Но в школе нам пока ничего не;Культурно-досуговые мероприятия
Социальное обслуживание и защита;учёт в Центре Занятости;Занятость и трудоустройство
Государственная собственность;час земельный участок для;Региональное имущество
ЖКХ;'Обратите внимание на дом ул Мира71. Дом в аварийном состоянии. В квартире полы провалились и не кто не чего не делает, магазин вечно топит в этом доме. Почему не могут с нести в этом;Ненадлежащее содержание и эксплуатация МКД
Благоустройство;сараи(почти упали), никто не знает кто это должен убирать. Земля не набалансе ТСЖ. Прошел субботник, все красиво но вот эти сараи. Несколько лет назад заставили убрать бани(штраф заплотили). А эти сараи не кому не нужны, никто не убирает. Дети там играют, не дай че;Ненадлежащее состояние фасадов нежилых зданий, объектов и ограждений
Коронавирус;сертификат будет продлён?;Сертификаты и QR-коды
Здравоохранение/Медицина;второго лекарства нет в аптеке. Дочка в коляске Ужасное отношение;Отсутствие лекарств в аптеках
Образование;в обязанности классного;Общее впечатление
Благоустройство;,и тоже является частной собственностью, но;Отсутствие детских площадок
Социальное обслуживание и защита;ребенка до 18 лет или;Матери-одиночки, подростки
Образование;медицинский работник на месте.Работники школы, учителя и сам директор говорят, что кабинет мед. работника есть в школе и готов по всем;Кадровые перестановки
Социальное обслуживание и защита;получаеться ,что на выплату с 3х до;Оказание гос. соц. помощи
Дороги;и перейти дорогу очень;Организация переходов, светофоров/Изменить организацию движения
Образование;отправлять заявление о том, чтобы сдать ЕГЭ как выпускник текущего года, для того чтобы его передали Кассиной Р.А. ?;ЕГЭ, ОГЭ
Общественный транспорт;по городу убрали😕,а цены подняли😆;График движения общественного транспорта
Здравоохранение/Медицина;посылают, то на Репина, то на Гайвинскую к;★ Скорая помощь
Благоустройство;залинии? А так же по улице;★ Ненадлежащее содержание зеленых насаждений (газонов)/деревьев и кустарников
Социальное обслуживание и защита;уходу за ребенком до 1.5 лет в;Задержка выплат гражданам
Строительство и архитектура;и даже не;Строительство социальных объектов
ЖКХ;какая А ещё такую отбирают;Плохое качество воды
Благоустройство;всë развлечение для;Предложение по благоустройству
Социальное обслуживание и защита;фонду с заявлением;Соц.обслуживание прочее
Образование;дошкольное образование? Сертификат на детей?;Дополнительное образование
Благоустройство;-так же! В;★ Ямы во дворах
Дороги;ездить не возможно.;Ямы и выбоины на дороге
Государственная собственность;'Здравствуйте.А есть час;Региональное имущество
Дороги;может человек! По данной улице очень много семей проживает с детьми, нужны лежачие;Предложить установку нового лежачего полицейского (ИДН)
Государственная собственность;Тогда приезжайте косите травку и гоняйте бомжей и нарков! Я не хочу загорется из за;Региональное имущество
Коронавирус;2 часа, взяли мазок, вчера пришел положительный. Сегодня звоню узнать что делать дальше, говорят идите на прием. Пришла, там человек 50 сидит. Ушла т.к не очень хорошо себя чувствую. И что мне делать дальше?;Тесты на коронавирус
Дороги;6 забыли. Уже;Нарушение технологии и (или) сроков производства работ
ЖКХ;она чистая побежала , вы куда;Плохое качество воды
Образование;закончила школу успешео - аттестат с отличием;Выплаты стипендий
Общественный транспорт;'Подскажите к какой компании;Содержание остановок
Экономика и бизнес;будет или ни когда как;Цены и ценообразование
Строительство и архитектура;странно. Иву планировали застроить комплексно.;Строительство социальных объектов
Здравоохранение/Медицина;Имени Вагнера г. Березники, с помощью ПАО «Уралкалий» приобрела дорогостоящий ( за 160 000000;Нехватка материально-технического обеспечения
Дороги;данном участке пешеходного тротуара;Освещение неисправно или отсутствует
Социальное обслуживание и защита;не считая гос.программ;Создание доступной среды для инвалидов
Благоустройство;земля муниципальная. Ранее я отправляла обращения №3335 и 3336, мне от вас поступил ответ, что земельный участок муниципальный. В аренду этот участок не предоставлялся. Шлагбаум внесен в реестр самовольно установленых;Самовольная установка ограждений на территории общего пользования
