Группа тем;Текст инцидента;Тема
Здравоохранение/Медицина;оплачивается оформление карт по диспансеризации, кроме этого вычитают;Низкая заработная плата врачей
Строительство и архитектура;бывшей типографии;Состояние зданий учреждений и организаций
Газ и топливо;'Здравствуйте! Скажите пожалуйста когда в п.Невидимка будет газ,живём в доль газотрассы;Восстановление газоснабжения
Благоустройство;проезжую дорогу. Машины, которые;Установка ограждений, препятствующих въезду на тротуар, газон на дворовой территории МКД
Экология;топляках. Не ушто;Выбросы вредных веществ в водоёмы/загрязнение водоёмов
Мусор/Свалки/ТКО;'Сообщение без текста;★ Стихийные свалки в городе/в парках/в лесу
Социальное обслуживание и защита;узнать, департамент социальной политике работают? по комсомольскому;Социальные учреждения
Социальное обслуживание и защита;.мы многодетная малоимущая семья трое детей школьников . Костылева Юлия Николаевна .г;Задержка выплат гражданам
Благоустройство;'Сообщение без текста;Предложение по благоустройству
Коронавирус;видели. Ждите говорят;Жалобы на врачей
Образование;не возвращают деньги за переплата по;Выплаты стипендий
ЖКХ;не делает.затопило с5по1 этаж.гис жкх так же наплевать на людей.остальным службам так же.рифей;Залитие квартиры
Благоустройство;вопрос: до какого числа вывезут в полном;★ Нарушение правил уборки и вывоза порубочных остатков
Здравоохранение/Медицина;г, +79194880917. Добрый день. Возникли вопросы по;Технические проблемы с записью на прием к врачу
Образование;! Вся территория заросла ,окна где закрыты п/этиленовой плёнкой , тротуар весь сломан ! Ужас просто ! Администрации города;Содержание гос. образовательных организаций
Газ и топливо;'Газификация д. Куземьярово;Сроки газификации
Общественный транспорт;транспорт,который нам обещают с декабря месяца,Халтурина-трактовая,глава тока отписки;Добавить новый маршрут
Здравоохранение/Медицина;улице;Отсутствие аптек
Социальное обслуживание и защита;89026441160. Город Березники Пермский край.23 ноября я через службу МФЦ подала документы, соответствующие перечню на малоимущность.Срок стоял до 5 декабря . То есть 7 рабочих дней.За это время ответ я не получила, сегодня;Дети и многодетные семьи
Благоустройство;Ленина 53 ,во дворе не яма,а ямище и никому дела нет.Это ужас;★ Ямы во дворах
Здравоохранение/Медицина;'Здравствуйте! Подскажите кому можно позвонить, проконсультироваться в данном вопросе!;Социальная поддержка медперсонала
Экономика и бизнес;для продления лицензии на оружие мне озвучили цену 5600р.не кажется ли вам что это очень заввшенная сумма...за эти деньги можно купить современный жк телевизор,собранный на высокотехнологичном оборудовании и являющийся сложным бытовым прибором...?;Цены и ценообразование
ЖКХ;тут вот;Ненадлежащее содержание и эксплуатация МКД
Социальное обслуживание и защита;обратилась к своему терапевту, чтобы она выписала все направления на анализы и ко всем специалистам, которые нужны для комиссии ВТЭК. Я все прошла, ездила в Пермь на консультацию. Думала, что всё прошла, но она назначила ещё врачей. Сегодня уже 22.12, а мне ещё 26.12 нужно сходить ещё к терапевту другому.Потом начнутся новогодние каникулы, и я не смогу вовремя оформить инвалидность и не получу выплату и бесплатные лекарства, которые сейчас получаю. Я;Инвалиды
Здравоохранение/Медицина;по федеральной программе строительство нового ФАПа будет на месте старого ФАП ?;Предложения по созданию лечебных центров
ЖКХ;день! Жильцы дома №20 по улице Школьная в городе Чусовом обращаются к Вам с просьбой разобраться и помочь решить проблему с водоснабжением. Сегодня уже ПЯТЫЕ сутки мы живет без воды, телефонные звонки во все инстанции не дают никаких результатов.;Отсутствие холодной воды
Коронавирус;'Уважаемый минздрав, объясните пожалуйста, как сделать ревакцинацию прививкой спутник лайт, в поликлиниках ее нет, по номеру 122 ничего не знают, номер;Доступность вакцин
Благоустройство;96 и 94. Фонари не горят, упала в яму, которую не видно. Сильно ударилась, остались синяки, очень больно. Благо шла не одна.Уважаемая Администрация, сделайте с этим что-нибудь, да и не только с этим. Ходить опасно не только взрослым, но и детям. Если бы упал маленький ребёнок, было бы намного хуже. Фото прилагаю. Спасибо!;★ Ямы во дворах
Общественный транспорт;;Льготы на проезд и тарифы
Благоустройство;улица Шестакова давно как ждет!!! Еще весной обещали;Уборка территорий
Благоустройство;такая красота в;Разрушение тротуаров и пешеходных дорожек
Благоустройство;';Предложение по благоустройству
ЖКХ;подъездом, выломало вместе с глыбой которая падала с крыши. Кто людям будет ущерб восстанавливать неизвестно. Но ещё;★ Наледь и сосульки на кровле
Образование;отправлю фото школы Дети в войну не учились в таких условиях. Почему нельзя организовать подвоз? Весь мир возит школьников! Один директор;Содержание гос. образовательных организаций
Образование;школа 15 августа отказать в организации 10го класса, на основании того что в 10 класс идут 2 ученика?;Образовательный процесс
"МФЦ ""Мои документы""";висит больничный продлен и на работе не могут его распечатать дурдом . Говорит врач програма выдает ошибку а мне то чё делать когда я его получу .воспитываю одна 2 детишек .куда не обращаюсь везде говорят подождите а сколько;Государственные услуги
Безопасность;адресу возможно отдать;Беженцы
Благоустройство;вопрос по поводу расчистки от;★ Нарушение правил уборки от снега и наледи детской игровой и спортивной площадки
Роспотребнадзор;утверждает что проводит дератацию. Возможно это так, но видимо она не срабатывает. Крысеныши бегают;Обработка и уничтожение грызунов (дератизация)
Мусор/Свалки/ТКО;нас в Горнозаводске;Проблемы с контейнерами
Образование;губернатору отправлю фото школы Дети в войну не учились в таких условиях. Почему нельзя;Содержание гос. образовательных организаций
Благоустройство;плачевном состоянии.Жители неоднократно обращались во все инстанции одни отписки . Была информация что снос запланирован на 15 . 08 сегодня уже 17 работы так и не начались , чего;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
Общественный транспорт;на остановке Веденеева такие же. Узехонькие, со всех сторон с боков продувает яСверху капает. Проектировщиков и тех, кто соглашается на их установку под дождь в них. Кого -;Содержание остановок
Благоустройство;безопасности движения, нужно выехать на полосу движения, из за кучи машин не видно. А на этом участке;★ Нарушение правил уборки и вывоза загрязненного снега и наледи на газоне
Социальное обслуживание и защита;Орджоникидзевском районе,МКР Камская поляна, и о какой заботе речь?? Инвалид , на землю документы;Аварийное жилье/переселение
Дороги;от Чапаева до Шмидта начнутся в июне.;Нарушение технологии и (или) сроков производства работ
Благоустройство;так что ребёнок подпрыгивает , на мусорки тоже забили всё валяется, собаки с воронами всё растаскивают. В общем один позитив. И это что? Тоже связано всё с СВО?;★ Нарушение правил уборки от снега и наледи территории парка и сквера
ЖКХ;"всем хорошо известной ООО ""УК ""Урал Сервис"" со своим очередным фантомным собранием и очередными";★ Несанкционированные надписи, рисунки, реклама на фасаде МКД
Мусор/Свалки/ТКО;установке для этого специальной контейнерной площадки, увиденной в репортаже. Микрорайон Нагорный, Пермь, ул. Архитектора Свиязева. Дома напротив строящегося зоопарка. При таких ужасных контейнерных площадках-самоделках и старыми, ненормативными, контейнерами восьмикубовиками, а также ветрах Нагорного, мусор будет летать не только в наших дворах, как сейчас, но и по прилегающей близко к нашим домам;Раздельная сортировка отходов
Образование;группе на бесплатной основе информацию о всероссийском конкурсе исследовательских работ для обучающихся 10-11 классов школ и СПО? Конкурс проводится Пермским государственным гуманитарно-педагогическим университетом. Участие конкурсе бесплатное, т.к. он преследует цели профориентации и просвещения по вопросам экономики, информатики и математики.Если да, то что для этого необходимо сделать?Буду признательна за;ВУЗы и ССУЗы
Общественный транспорт;автобусная остановка у магазина Брендо по Компросу остановка Октябрь.;Отсутствие остановочных пунктов
Газ и топливо;'А коллективный сад в д. Олени будут проводить газ ? Садоводы бы не отказались от такого подарка «Газпром»;Восстановление газоснабжения
Благоустройство;Почему вы игнорируете;Отсутствие детских площадок
ЖКХ;письменном виде что в течение года они произведут ремонт и в итоге год прошел;Ремонт подъездов
Общественный транспорт;Южная (маршрут автобуса 15) не закончен ремонт остановочного пункта (высадка пассажиров). Нет пешеходных дорожек от парковки до остановки Южная и от остановки ТЭЦ-17 до;Пешеходные переходы и жд переезды
Государственная собственность;'Кто подскажет куда обратится для выкупа заброшенного;Региональное имущество
Строительство и архитектура;'да, подтверждаю;Архитектура города
Благоустройство;в городе Перми ул Нефтяников 60В нашем дворе нет детской площадке! Поставьте, пожалуйста, хоть капельку детям. В доме огромное количество детей;Отсутствие детских площадок
Образование;по сухпайкам? С 5-11 есть а;Питание
Социальное обслуживание и защита;выплачивается с 1 по 25 числа. Сегодня;Задержка выплат гражданам
Мусор/Свалки/ТКО;обнаглели? Свалка по улице;Выброс мусора нарушителем
Дороги;в магазины и на остановку, банк, детский сад по ул.Карбышева от дома 10 до 50 покрыта непроходимыми лужами, горами грязи и льда. И похоже, пока ( как всегда каждый год) само не растает и не смоет дождями - так и будем в грязи утопать .Не знаю куда ещё можно обращаться, чтобы;Подтопление автомобильных дорог
Коронавирус;не могу дозвониться на;Проблемы в работе горячих линий
Дороги;нас в Вильве газовые службы газ в частный сектор проводили, всё перекопали, все ливневые канавы нарушили. Пробовали сами прокопать земля мерзлая, обратились в посёлковый совет, ответили что они ещё не заключили договор с исполнителем этой работы. А снег тает, он не будет ждать когда;Ливневые канализации (строительство и реконструкция)
ЖКХ;;Завышение платы за коммунальные услуги
Здравоохранение/Медицина;правы в больнице нет элементарных препоратов, с анитибиотиками даже простого бифидума нет, у детей начинают болеть животы они плачут, мучаются! Приходится покупать свое! ☝;Отсутствие лекарств в стационарах
Дороги;нету столбов вообще у нас мы;Освещение неисправно или отсутствует
Образование;данным вопросом!Министерство образования Пермского края не отвечает на звонки.Подали документы на поступление в ПГУ, были приняты, но так как ждали ответа с вуза из другого города (время там Московское) , подать документы в Перми не успели, сейчас нам отказывают в поступлении при баллах в 245. Что делать в такой ситуации.Спасибо, надеюсь на ваш;ВУЗы и ССУЗы
Дороги;лист состоящий рядом с прудом контейнерной площадкой рядом с бывшим хлебозаводом. На железной раме остались только отверстия от саморезов. Воры были настолько уверены в своей безнаказанности, что оставили вокруг площадки множество следов когда снимали листы. Достаточно посмотреть сколько;Необходима установка и замена дорожных ограждений
Мусор/Свалки/ТКО;я , скажите пожалуйста в какой срок свяжется ваш специалист;Плата за вывоз ТКО
Благоустройство;только на висиме. В центре не лучше.;★ Нарушение правил уборки внутридворового проезда, пешеходной дорожки
Дороги;и угол цветочная 37 дорога ни кому непринадлежит приежает мусорка все продавливает подьезда нет а если скорую;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
Погребение и похоронное дело;постройте! Площадь кладбищ больше города! 😡;Погребение и похоронное дело
"МФЦ ""Мои документы""";распечатать дурдом . Говорит врач програма выдает ошибку а мне то чё делать когда я его получу .воспитываю одна 2 детишек .куда не обращаюсь везде говорят подождите;Государственные услуги
Здравоохранение/Медицина;Котельникова-41 год.Лежит после химиотерапии с признаками инсульта.Отнялась речь,правый бок парализован.Увезли с сердечным приступом почему-то в онкологию.КТ не;Ошибки врачей, халатность
Благоустройство;Локомотивной от тоннеля до ДКЖ. Администрация Дзержинского района может;★ Отсутствие урн, лавочек в общественных местах и дворовой территории
Дороги;чтобы убрать здесь знак жилой зоны? И тогда будем;Содержание дорожных знаков/Установка новых дорожных знаков, с внесением в схему дислокации, замена старых знаков на новые
Образование;официальный отказ от города. Наш проект и желание помочь школе со спортивной площадкой на её территории не востребованы.Очень жаль 😔Р. S. Может;Общее впечатление
Общественный транспорт;утром в праздник;Изменение класса и количества автобусов
ЖКХ;воды нет, кто то;Отсутствие холодной воды
Общественный транспорт;с номерами маршрутов с пересадками с оплатой раньше точно знал куда этот маршрут едет а сейчас все апсалютно все перевернули;Изменить или отменить маршрут
Здравоохранение/Медицина;дня ждали пока врач к нам придет ....пришла с улыбкой на третий день .... А у ребенка 4 годика была температура 38:8 ...в скорую звоним говорят ожидайте неотложку ....бригада скорой помощи на такую;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
Общественный транспорт;автобус по городу Губаха? Обещали пустить с 1 июля;Добавить новый маршрут
Благоустройство;"дворов г. Губаха. Приведите всё в соответствие. Или это уже шалашная деревня?Детские площадки делать не хотим, лучше свалку деревьев образуем. Аналогичная ситуация УК по улице П. Морозова, 16, также не убран сруб деревьев. Местонахождение от ДК ""Энергетик""";★ Нарушение правил уборки и вывоза порубочных остатков
Дороги;дорогу в аэропорт. Еще эти непонятные отбойники, где будет скарливаться вода и снег. Как это все будет чиститтся зимой. А развязка возле цума, это же просто зауженное место, где;Строительство или реконструкция дорог
"МФЦ ""Мои документы""";не было такого пункта. И что я им должен был отправить и куда? Скан справки о доходах? Не было такого пункта! Для чего вообще я терял свое время? На сотрудниц социальной защиты я обязательно оставлю жалобу зам. министру социального развития. Если бы они просто нормально выполняли свою работу, не было б такой тягомотины! Сейчас уже конец месяца и;"МФЦ ""Мои документы"""
Дороги;на Асфальте есть колея,во время дождя;Некачественно выполненный ремонт дорог
Экология;городе сегодня вонь;Выбросы вредных веществ в атмосферу/загрязнение воздуха
Общественный транспорт;живём! В дождливую погоду , чтоб можно было и укрыться от дождя и обогреться.Чтоб места под крышей хватало и об сиденье не морозили задницу.Если киоск рядом, то и подзарядиться можно.Посмотрите на ст.Молодежной первый же ветродуй снёс все стекла. Для людей надо делать!;Содержание остановок
Мусор/Свалки/ТКО;'Новая свалкаМикрорайоне Камский;★ Стихийные свалки в городе/в парках/в лесу
Благоустройство;до Леонова), всегда наблюдаю большой пешеходный трафик: и мамочки с детьми, и люди с собаками, и просто гуляющие молодые люди. При этом, вдоль всей пешеходной зоны наблюдаю постоянно кучу мусора: бутылки, обертки, сигаретный пачки и т.д. Я понимаю, что это мы сами бросаем этот мусор! Но ведь его и выбросить-то больше некуда! Ведь вдоль пешеходной дорожки нет НИ;★ Отсутствие урн, лавочек в общественных местах и дворовой территории
Здравоохранение/Медицина;отказываются.. Бежишь в больницу, записи нет, или есть но через месяц.. или там очередь в километр из таких же, как ты, и полдня надо просидеть и не факт, что успеешь. А в аптеке тем временем бронь закончилась и продали другому..Ну не надо таких квестов устраивать!!Не у всех есть деньги на платную;Отсутствие лекарств в аптеках
Культура;определялись 1100;Культурно-досуговые мероприятия
Благоустройство;Дзержинского района работы по очистке нашего леса вроде бы начинали выполняться ..... Начали но не закончили. Убрали только видимую с дорожки;Уборка территорий
Общественный транспорт;невозможно уехать до Ипподрома....😒;График движения общественного транспорта
Благоустройство;освещения весь асфальт взарвали , проводила положили, старыми;Обустройство асфальтового покрытия парковки, внутридворового проезда, тротуара, пешеходной дорожки, въезда во двор
Социальное обслуживание и защита;31.12.22. Ещё осенью я обратилась к своему терапевту, чтобы она выписала все направления на анализы и ко всем специалистам, которые нужны для комиссии ВТЭК. Я все прошла, ездила в Пермь на консультацию. Думала, что всё прошла, но она назначила ещё врачей. Сегодня уже 22.12, а мне ещё 26.12 нужно сходить ещё к терапевту другому.Потом начнутся новогодние каникулы, и я не смогу вовремя оформить инвалидность и не получу выплату и бесплатные лекарства, которые сейчас;Инвалиды
Дороги;так в Перми чистят дороги;★ Несоблюдение правил уборки проезжей части
ЖКХ;"Проживаем по адресу: город Соликамск улица 20 лет Победы дом 165 квартира 3. У нас промерзают стены и стены покрываются чёрной плесенью. Ещё прошлой зимой обратились в нашу управляющую компанию "" Новый центр "". Я просила произвести утепление с внешней стороны. Но они отказали, только оштукатурили летом. На данный момент у нас снова появилась чёрная";Ненадлежащее содержание и эксплуатация МКД
Здравоохранение/Медицина;пожалуйста, почему в Лысьве в диспансеризацию входит только ЭКГ и анализ крови на;Диспансеризация
Благоустройство;запорошит снегом. Обратите внимание, и не позорьте красоту улиц и дворов г. Губаха. Приведите всё в соответствие. Или это уже шалашная деревня?Детские площадки;★ Нарушение правил уборки и вывоза порубочных остатков
ЖКХ;года лифт не работает, дак вот эти пол года, наша администрация всё решает и решает, никаких действий не принимают, надо действительно Махонину писать или сразу Путину, за, что платим?;Лифт неисправен или отключен
Дороги;утро, ПЕРЕКРЫТА;Несанкционированное ограничение движения, помехи движению, захват земли в полосе отвода автодорог
Связь и телевидение;дер. Кондратово, ул. Нифантова 5-136, хотелось бы узнать , есть ли мой бюллетень в инспекции ,и что стоит в 5 пункте;★ Информационно-техническая поддержка
Связь и телевидение;г, +79194497944. Добрый день, когда;★ Информационно-техническая поддержка
Здравоохранение/Медицина;????Их;Низкая заработная плата врачей
ЖКХ;'Все дома на улице;Непригодные для проживания жилые помещения
Здравоохранение/Медицина;"была,-закрыли, у нас тут очень много пожилых людей и детей маленьких, а ближайшая-только у ""Дома пионеров""!? Сейчас, чтобы сходить в аптеку, приходится звать бабушек, Красное-белое";Отсутствие аптек
Благоустройство;"появится информационный щит""😏 Кто- то что- то не договаривает? Деревья вырублены";Вырубка деревьев, кустарников
Социальное обслуживание и защита;4 детей. До апреля 2023 Я получаю с 8-17 50 %на двоих старших, третьему ребёнку в феврале будет 3 года, за 4 ребёнка получаю губернаторские до июня. Если Я попробую на третьего ребёнка в феврале оформить универсальное, в случае одобрения у меня на каждого ребёнка выплата встанет одинаково, или же только на третьего, а на старших и маленького до июня смогу получать как получала? И если при одобрении на третьего универсального, Я оставлю на остальных выплаты на;Дети и многодетные семьи
Строительство и архитектура;;Строительство социальных объектов
Образование;какое там доп образование. К экзаменам готовить некому,;Кадровые перестановки
Экология;Перми, 1 до, порта Заостровка (ЗПР.) берег весь в топляках. Не ушто у правительства не денег, не поверю. Воровать не нужно и деньги будут.;Выбросы вредных веществ в водоёмы/загрязнение водоёмов
ЖКХ;канализационная. Звонила в УК, не могла дозвонится. Позвонила в аварийку, что-то делали. Спасибо им большое. Но все равно запах;★ Прорыв трубы/трубопровода
Дороги;какой цели это сделано, непонятно. Но я думаю что уже есть пострадавшие, кто запнулся об эту трубу. Подобные ловушки оставлены у Смышляева 40, где в тротуар были набиты штыри и сейчас торчат полуторасантиметровые ловушки. Но;Содержание, ремонт и обустройство тротуаров
Образование;электричества не дают, не можем полноценно к ней подготовиться тк техника разряжается быстро, доступа к WiFi соответственно нет, ходим за кипятком в пятёрочку, которая находиться за км от нас , решите эту проблему тк это уже не первый раз, и нам это уже надоело , спасибо что хотя бы включили;Содержание гос. образовательных организаций
Дороги;составлять 2,5 часа.Ну неужели все настолько безчеловечно?! Мне на работу выезжать за 4 часа?Ребята, Вы;Пробки
Благоустройство;давно открыт люк, сначала просто был открыт, потом на него поставили типо ограждения, но оно не спасет.;★ Открытые канализационные люки
Связь и телевидение;'Здравствуйте помогите найти хорошего сосудистого хирурга или хороший мед центр где можно пройти;★ Информационно-техническая поддержка
Благоустройство;Каляева от ул Ушакова до Сумской весь асфальт;Нарушение правил проведения земляных работ
Благоустройство;давно уже положили на этот борщевик🤦‍♀️ заявление уже;Борщевик Сосновского
Образование;развитию, или подсказали где такую программу взять, чтобы при необходимости можно было использовать самим дома. Так как просто в интернете практически;Общее впечатление
Общественный транспорт;затмила от веток, лесенки не видно. Вот скажите, как ходить? По дороге, спускаться? А по этому переходу люди на работу ходят, с работы идут, да и слепые в этом районе живут. Этот кустарник ни какой ценности не представляет, а если жалко, уберите ветки но;Пешеходные переходы и жд переезды
Погребение и похоронное дело;этом рынке. Но есть среди этих компаний один монопольщик который находится около морга и морг тесно работает только с ним одним;Погребение и похоронное дело
Социальное обслуживание и защита;а скажите пож нынче будут подарки;Инвалиды
Дороги;вроде и есть.Только к нему бы тратуар сделали с 10 м/она.Люди по;Содержание, ремонт и обустройство тротуаров
Спецпроекты;'Пермь г, +79058638352. Добрый день, по адресу ул. Патриса Лумумбы, 13, с 16 августа отключили горячую воду, по сегодняшний день не включили, управляющая компания на вопросы не дает никаких ответов по срокам, Работ никаких;Спецпроекты
Образование;ли возможность заключить целевой договор с администрацией нашего города для обучения?Если имеется такая возможность, и вам;ВУЗы и ССУЗы
ЖКХ;привели в более - менее хорошее состояние. Очистили подвал, отремонтировали;★ Засор в общедомовой системе водоотведения (канализации)
Благоустройство;то не соответствует? Либо глубокая и;★ Ямы во дворах
Благоустройство;бороться с борщевиком, до цветения-до сабантуев,а не тогда .когда пошли семена..Около Брюзли и дальше,а в лесах-просто ужас.;Борщевик Сосновского
Дороги;Там даже;★ Некачественно нанесенная разметка на проезжей части
Роспотребнадзор;весь искусанный клопами. И это не единственный случай. Другие ребята из его отряда также приехали с укусами. Со слов детей, после жалоб на укусы клопов комнату, в которой проживал;Санитарно-эпидемиологическое благополучие
Мусор/Свалки/ТКО;Мусорная площадка должна быть ровная, там склон. До;★ Отсутствие контейнерной площадки/Проезд к контейнерной площадке
Благоустройство;'А карманы парковочные в районе перекрестка Ленина-Попова за чем убрали?...Где логика?;Обустройство асфальтового покрытия парковки, внутридворового проезда, тротуара, пешеходной дорожки, въезда во двор
Общественный транспорт;верните кондукторов на место;Проблемы с социальными картами или проездными документами
Общественный транспорт;мост пешеходный отремонтировали;Пешеходные переходы и жд переезды
Общественный транспорт;'32 маршрут;Изменение класса и количества автобусов
Коронавирус;года по РВП и соответственно есть прописка в паспорте от федеральной службы миграции. Ранее вакцинировалась на территории РК двусоставным компонентом, на руках есть сертификат. Снилс и ОМС есть. На портале госуслуг регистрация на прививку мне открыта в поликлинике по адресу г Кунгур ул. Гоголя д. 3. Однако в поликлинике отказываются ее делать ссылаясь на то, что иностранные граждане делают;Порядок и пункты вакцинации
Дороги;шлакбаума на бахаревке за Альпийскими банями, зачем его там поставили, столько лет ездили через;Несанкционированное ограничение движения, помехи движению, захват земли в полосе отвода автодорог
Безопасность;подскажите пожалуйста, где можно оставить помощь для беженцев?;Беженцы
ЖКХ;день . Гремячинск . Грибоедова 15 . Поступают начисления за кап ремонт . Капитальный ремонт говорит о том что уже третий месяц администрация не направляет документы о том что дом признан аварийным . Поэтому просим вас предоставить фонду капитального ремонта документы . Чтобы далее начислений не было . Сейчас нам не за что платить;Сборы за капитальный ремонт
Экономика и бизнес;'Да очень много добавили 73рубля куда бы их девать,а пенсия 8600 в личном;Цены и ценообразование
Физическая культура и спорт;в районе Гипермаркета залили каток (ПЕРВЫЙ РАЗ ЗА ВСЕ ГОДЫ).У меня внучка стала туда ходить,а как пошёл снег кататься стало невозможно.НИКТО НЕ ЧИСТИТ!!!А в Мотовилихинском районе все;Строительство спортивной инфраструктуры
