Группа тем;Текст инцидента;Тема
Здравоохранение/Медицина;#Объявлениякраснокамск #Бумеркраснокамск #работакраснокамск #вакансиикраснокамскЗдравствуйте. Может кто знает, по какому номеру звонить в поликлинику1, что бы закрыли;Профильный осмотр
Газ и топливо;'Провели бы газ во 2 краснояр...я уже устала обещания слушать.;Сроки газификации
Образование;году пока дом;Устройство в ДОУ
ЖКХ;'ЗдравствуйтеВода примерно во сколько будет включена?;Отсутствие холодной воды
Мусор/Свалки/ТКО;дозвониться по Вашему телефону, указанному на сайте : 236-90-55, уже в течение 3 дней.;Плата за вывоз ТКО
Образование;и афишировать как;Устройство в ДОУ
Социальное обслуживание и защита;кв. 2. С уважением, Евгений;Улучшение жилищных условий
Дороги;начало ул и конец в середине;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
Дороги;профилирование? А асфальтирование в этом году не планируется на данном участке дороги?;Строительство или реконструкция дорог
ЖКХ;у нас дам 1937 г постройки дом списан а еще насчитывают какое то содержание жилья там стены пустые зимой на сквозь промерзают;Непригодные для проживания жилые помещения
ЖКХ;виды ремонта дома даже говорить не хочется: фундамент разваливается на части, входная группа в подъезде сгнили полы (своими силами как могли сделали), стены рушатся все в;Перепланировка и реконструкция помещений
Мусор/Свалки/ТКО;они правы, то лучше оплатить в;Плата за вывоз ТКО
Социальное обслуживание и защита;которого нет ноги?;Инвалиды
Здравоохранение/Медицина;не просматривается состав новообразования, поэтому я и ждала КТ, просто каким это невероятным способом вместо новообразования появилась матка, которой у меня;Ошибки врачей, халатность
Экономика и бизнес;что нет лекарств;Цены и ценообразование
ЖКХ;3 этажа УК ДО СИХ;Залитие квартиры
Благоустройство;вашей компании при выезде от площадк с контейнерам для мусара, всё время заезжают на тротуар и ломают его. Верещагинский район с;Разрушение тротуаров и пешеходных дорожек
Мусор/Свалки/ТКО;в этом доме после введения пропишутся;Плата за вывоз ТКО
Дороги;'А Федосеева где? Ездить;Предложение дороги в план ремонта
Мусор/Свалки/ТКО;кучу. Огромная просьба, подробно объясните движение разделенного мусора, как и где каждый вид будет утилизироваться, а так получается;Раздельная сортировка отходов
Социальное обслуживание и защита;хотелось узнать могу ли я что то оформить за;Матери-одиночки, подростки
Социальное обслуживание и защита;'Ставка госслужащего? Зарплата?;Занятость и трудоустройство
Газ и топливо;этом году программа компенсации технологического присоединения к газовым;Стоимость, оплата и возврат средств на газификацию
Строительство и архитектура;врачи будут работать в;Строительство социальных объектов
ЖКХ;система худая. И когда это придет в норму, одному Богу известно;★ Прорыв трубы/трубопровода
Образование;неделя, для 10–11 классов — шестидневная.Родителям учеников 28 школы сообщили, что в 2022 году к ним в школу планируют перевести педагогов (18 человек) и учеников (380 человек) школы 21 (здание на Сибирской, 23 закрывают на ремонт).Капитальный ремонт старинного здания 21 школы может растянуться на годы, — полагают родители учеников 28 школы. И опасаются, что процесс обучения их детей ухудшится из-за уплотнения.На сегодняшний день в школе 28 уже обучаются 4 класса гимназии №17. Родители боятся, что увеличение количества учеников на почти 400 сверх проектной мощности приведет к росту заболеваемости, в том числе коронавирусом.По словам родителей, в школе и так выстраиваются очереди в туалеты, столовую, раздевалки, а в связи с ростом количества учеников дети «просто не будут никуда успевать».Родители отмечают, что рядом с 28 школой «элитные» школа №2, гимназия №11 (дети учатся в одну смену), школа №61 (дети учатся в одну смену).Родители уверены, что департамент должен пересмотреть свое;Кадровые перестановки
Благоустройство;"'Здравствуйте, на ул. Композитора Глинки 6 в "" Уральском подворье"", когда будет установлена спортивная площадка, а то учащиеся во время перемены гуляют на детских площадках во дворах домов ул. Композитора Глинки 8 и 10 не предназначеных для их возраста";★ Ненадлежащее состояние игровых элементов на детской или спортивной площадке
Благоустройство;во дворе.Это заезд во двор трёх домов Братская 20, Братская 22;★ Ямы во дворах
ЖКХ;ПО 350руб.в месяц с каждой;Завышение платы за коммунальные услуги
Дороги;рифму придумать , где решетка, правда , кто то просто поставил вот такую конструкцию , только и ее уже нет , раздолбали машины , еще одну сперли решетку , вы уже не обещайте ничего , помалкивайте в тряпочку , если не можете ничем помочь, сами разберемся , а то мы сообщим , да специалисты приехали , да размер то;Ливневые канализации (строительство и реконструкция)
Мусор/Свалки/ТКО;площадок на ул. Куйбышева обозначены? И;★ Отсутствие контейнерной площадки/Проезд к контейнерной площадке
Здравоохранение/Медицина;тоже была очень шокирована . Всё холодное, невкусное, из самых дешёвых и низкокачественных продуктов. /Принципиально из дома еду не брала и не рассчитывала на чудо, но там лежат больные/пожилые люди не только из Чайковского, и к ним не приходят каждый день с горячим супчиком. Дело не только в некачественном приготовления пищи,;★ Питание в медицинских учреждениях
Благоустройство;горит уличное освещениеПрошу принять меры;★ Неисправные фонари освещения
Благоустройство;вообще не куда! Поставьте туалеты, сделайте большие штрафы за обоссанные и изгаженные калом территории подъездов, домов,;Отсутствие общественных туалетов
Коронавирус;за 8 февраля озвучены;Тесты на коронавирус
ЖКХ;и сколько лет они это;Другие проблемы с общедомовой системой водоотведения (канализации)
ЖКХ;заявки.4. Члены правления ТСЖ разговаривают неуважительно, если не сказать хуже с собственниками дома…5. Я думала, что я одна недовольная, оказывается нет, очень много недовольных, просто люди не хотят идти на;Ненадлежащая уборка подъездов и лифтов
ЖКХ;по ул Кирова 2;Завышение платы за коммунальные услуги
Связь и телевидение;оповещение можно посмотреть?;★ Информационно-техническая поддержка
Дороги;проезжей части Славянова-Лифанова от ул. Смирнова до ул. 1905;★ Некачественно нанесенная разметка на проезжей части
Общественный транспорт;до перми 2, очень удобно будет ездить людям. 24 очень долго;Изменить или отменить маршрут
Электроснабжение;Комсомольской столб падает.;★ Повреждение опор ЛЭП
Благоустройство;Печально осознавать что администрация не видит и;Установка ограждений, препятствующих въезду на тротуар, газон на дворовой территории МКД
ЖКХ;воды. Что по этому;Отсутствие горячей воды
Дороги;спортленд есть автобусная остановка можно ли сделать зебру;Содержание дорожных знаков/Установка новых дорожных знаков, с внесением в схему дислокации, замена старых знаков на новые
Благоустройство;'💩 ЗЛОВОННОЕ ОЗЕРОНа улице жаркая и сухая погода, а в доме сырость и запах канализации. С такой бедой столкнулись жители посёлка Яйва.;★ Подтопление территории
Благоустройство;а не подскажите куда можно сдать люминесцентные лампы или их разрешено выкидывать в;Предложение по благоустройству
Мобилизация;переводят со дня подачи документов или нет?;Зарплата, компенсации, поощрения, выплаты
Здравоохранение/Медицина;молочную смесь.Помогите пожалуйста решить эту;Льготные лекарства
Благоустройство;для освещения? Где растут деревья там много поваленных . Почему;Отсутствие фонарей освещения
Благоустройство;помощи:Добрый вечер! Во дворе у дома по адресу Александра Пархоменко, 8 настоящая свалка мусора. Никто не принимает никакие меры, помогите, опубликуйте, пожалуйста😫🙏Может после этого примут меры, а то это просто ужасная картина.Вместо детских;Уборка территорий
Дороги;"на острую проблему подъезда к дому по адресу Гайдара 12 а. В начале этой недели соседствующий дом по адресу Крупской 71 установил бетонные полусферы на проезжую часть вдоль дома. Данная дорога является единственным сквозным проездом в данном квартале и ремонтировалась за счёт города как квартальный пооезд. Любой автомобиль чуть больше ""газели"" заехав в данный двор назад сдать и развернуться не сможет, т.к. угол поворота большой а проезжая часть узкая. Так же УК дома Крупской 71 загородили проезд к дому Гайдара 12 а. К дому Гайдара 12а есть другой подъезд,";Несанкционированное ограничение движения, помехи движению, захват земли в полосе отвода автодорог
Памятники и объекты культурного наследия;лютеранском участке памятники стоят чуть ли не по пояс идущим уже. Края надгробий сломаны. кто за;Памятники и объекты культурного наследия
Благоустройство;"""парковка на газоне"" и все счастливы — типа";★ Парковка на газонах
Образование;'Весной занял второе место и хотел подавать на повышенную стипендию в вузе, но для подачи кроме диплома нужно еще и;ВУЗы и ССУЗы
Благоустройство;у дома 45 жители самовольно перегородиди, администрация района;Самовольная установка ограждений на территории общего пользования
Здравоохранение/Медицина;анализы, документы на группу. У нас в Чернушке толи специально тянут время, то еще чего, но как новый месяц, так выясняется,что анализы;Профильный осмотр
Здравоохранение/Медицина;куда скорая подъезжает, такая мразь сидела в прошлом году летом. У меня было разрешение от зам.главного врача навестить своего умирающего отца. Эта мразь меня не пустил, нахамил, и отдавил мне руку со всей силой. Свидетелем была моя;Хамство медицинских работников
Благоустройство;'На Советской автомобили стоят прямо на дороге,;★ Нарушение правил уборки и вывоза загрязненного снега и наледи на газоне
Образование;поводу жалоб и предложений по поводу системы;Образовательный процесс
Здравоохранение/Медицина;'Пермь г, None. Закрыть;Очередь
Культура;неработает. Хочется в;Учреждения культуры
Образование;работаю но воспитателем почему я не могу снова аттестоваться все;Образовательный процесс
Социальное обслуживание и защита;не трудоустраивают? Может;Занятость и трудоустройство
Здравоохранение/Медицина;нет ни тротуаров,;Содержание больниц
Общественный транспорт;'Здравствуйте, хотелось бы поднять такой вопрос: в 18 или 19 году ЛДСУ делала дорогу до с.Неведимка. Но мы знаем, что ЛДСУ обанкротилось. Дорога осталась не доделанной - не сделаны съезды в сады и остановки, перепад асфальта со старым съездом составляет 10-15 см. На первом фото это выезд автобуса от остановки. На третьем фото въезд в коллективный сад № 5. Фото сделано в прошлом году, а в этом году образовалась большая яма перед выездом из сада на дорогу, машина из-за этой ямы как бы;Пешеходные переходы и жд переезды
Дороги;какого хрена такой узкий проезд?;Необходима установка и замена дорожных ограждений
Благоустройство;пожалуйста, когда вернут освещение на улице Ленина? В 17 часов центр;Отсутствие фонарей освещения
Здравоохранение/Медицина;на вич они отрицательные 22.07.2022 а в 2020 году говорят;Ошибки врачей, халатность
Благоустройство;нет песочницы кабелей для детей глава александровска не исполняет свои обязанности;Отсутствие детских площадок
Общественный транспорт;конечной остановки «Голый;Изменить или отменить маршрут
Благоустройство;"В МКР.""Краснова"" Управл.компания чистит возле дома прекрасно, а когда приезжают от Муницеп.Госуд-ая, все сгребают и на клумбы сбрасывают, глыбы до";★ Нарушение правил уборки и вывоза загрязненного снега и наледи на газоне
Мусор/Свалки/ТКО;ещё они так простая? Давно;★ Отсутствие контейнерной площадки/Проезд к контейнерной площадке
Дороги;выезжали на ул. Куйбышева? Жесть! Яма на яме. Да и Солдатова вся в выпиленных ямах. Спасибо АДминистрации Свердловского;Ямы и выбоины на дороге
Благоустройство;серо-голубая дорожка - это отличная находка дизайнеров. Она извивается, как река.Это озерцо мы хотим засадить кувшинками. Чтобы;Предложение по благоустройству
Мусор/Свалки/ТКО;работники Теплоэнерго ещё и поменяли местами эти контейнеры и контейнер для вторсырья оказался между контейнерами для ТКО.Просим оранжевый контейнер для ТКО разместить в самый левый край площадки. В дальнейшем не менять местами контейнеры. А;Проблемы с контейнерами
Культура;'Сегодня были,там много дыр ужасный каток и очереди;Культурно-досуговые мероприятия
Газ и топливо;г.Перми для многодетных;Стоимость, оплата и возврат средств на газификацию
Благоустройство;чьими окнами и стоит бесхозный кабинет. За что мы;Уборка территорий
Благоустройство;жители самовольно перегородиди, администрация района;Самовольная установка ограждений на территории общего пользования
Экология;3х лет гос. Структуры не видят и слышать не;Выбросы вредных веществ в водоёмы/загрязнение водоёмов
Дороги;автомобилисты соблюдают разметку, может все же повесить знаки;★ Некачественно нанесенная разметка на проезжей части
ЖКХ;везде нагадили. За что платим?,;Ненадлежащая уборка подъездов и лифтов
Благоустройство;не хотят, просто позор. Как;★ Нарушение правил уборки от снега и наледи детской игровой и спортивной площадки
Электроснабжение;электрические сети ОАО МРСК Урала. Обратной связи не получили, никаких действий данные организации не принимают.;Качество электроснабжения
Коронавирус;пройти ревакцинацию назальным способом (в каких именно поликлиниках или мобильном;Доступность вакцин
Образование;холодном полу весь день, насморком тут не отделаться. Нужно разрулить ситуацию ещё позавчера…;Проблемы с отоплением детских садов и школ
Культура;давайте флешмоб устроим;Культурно-досуговые мероприятия
Дороги;темно. После 17 часов.;Освещение неисправно или отсутствует
Общественный транспорт;Теплая стаянка отварот на;Отсутствие остановочных пунктов
Образование;будто других способностей у детей нет. Почему не развивать;Дополнительное образование
Социальное обслуживание и защита;10.По тел. 265-36-22, 8-908-271-4062 дозвониться не можем, хотелось бы узнать, готовы;Социальные учреждения
Благоустройство;Ленина 37На четвертом этаже;Отсутствие фонарей освещения
Здравоохранение/Медицина;там работать, пример-Ольховка, Нижний Лух,фапы есть, нет врачей.;Нехватка или сокращение врачей и медицинских учреждений
Образование;информацию, что размер социальной стипендии установленный в Пермском крае равен МРОТ (13890). Т.е. социальная стипендия в данном;Выплаты стипендий
Благоустройство;.наверно надо идти в администрацию пусть;★ Нарушение правил уборки от снега и наледи территории парка и сквера
Дороги;успевает несколько автомобилей;Организация переходов, светофоров/Изменить организацию движения
Торговля;'киоск,поставлен незаконно.просьба демонтировать.;★ Нестационарная торговля (киоски, павильоны, сезонная торговля)
Мобилизация;выплату в 100тысяч. У меня вопрос когда её начнут выплачивать???> Здравствуйте. Попросил;Зарплата, компенсации, поощрения, выплаты
Коронавирус;поздно будет. Вызвать врача? Вы с МИНЗДРАВ какого края ? Вы на Луне находитесь?1. Врача не вызвать!2. Позвонили;Жалобы на врачей
Благоустройство;работают тренажёры в парке Балатово;★ Ненадлежащее состояние игровых элементов на детской или спортивной площадке
Образование;куда надо обратиться;Зарплата учителей
Мобилизация;будет нам выплачиваться?;Зарплата, компенсации, поощрения, выплаты
Спецпроекты;планируется у Вас;Спецпроекты
ЖКХ;Ул. Ветлужская и ул. Сортировочная, Дзержинский район, уже несколько месяцев;Другие проблемы с общедомовой системой водоотведения (канализации)
Дороги;очисткой дорог по Калинина;★ Несоблюдение правил уборки проезжей части
Дороги;"дорога"" (улица Мира) на высоте 4 метра";Содержание дорожных знаков/Установка новых дорожных знаков, с внесением в схему дислокации, замена старых знаков на новые
Экология;В подъезде вонь стоит;Выбросы вредных веществ в атмосферу/загрязнение воздуха
Социальное обслуживание и защита;26 число выплаты нет. Дзержинский районо🙈;Задержка выплат гражданам
Образование;школе в Медовом. Как продвигаются дела? Благодарю;Содержание гос. образовательных организаций
Коронавирус;приказ о приостановлении планового приема? Кроме новостей, нигде нет официального опубликования!;Коронавирусные ограничения
Социальное обслуживание и защита;центр занятости? Почему место специалиста который в отпуске не работает другой? Я счас должна ждать 1, 5 недели;Соц.обслуживание прочее
Спецпроекты;'Сообщение без текста;Спецпроекты
Здравоохранение/Медицина;года,затем автомат, на пол года,срок действия справки;Здравоохранение прочее
Роспотребнадзор;'У нас такая же проблема 😡;Обработка и уничтожение грызунов (дератизация)
"МФЦ ""Мои документы""";жалобу через госуслуги?;Государственные услуги
Благоустройство;факт вообще не;Борщевик Сосновского
ЖКХ;вот наша стена которая обрушается и пошло это все из за дырявой;Некачественный капитальный ремонт
ЖКХ;фасад вида бежит;Перепланировка и реконструкция помещений
Здравоохранение/Медицина;и не будет.Другой препарат нам не заменили.Получается что данный момент ни какой лечения мама не получает.И в госпитализации отказывают.У неё начались боли Просили выписать обезболивающие терапевт назначал»Кетарол «Этот препарат не;Отсутствие лекарств в аптеках
"МФЦ ""Мои документы""";услуга в мфц?соцзащита как-то неуверенно отправляет меня через мфц писать заявление, хотя;"МФЦ ""Мои документы"""
Благоустройство;"Ф3, Ф4.2, Ф4.3, Ф.4.4 высотой 18 и более метров;б) с одной продольной стороны - к зданиям и сооружениям вышеуказанных классов с меньшей высотой при выполнении одного из следующих условий:- оконные";Благоустройство придомовых территорий
ЖКХ;жители, а возчику просто плевать на то сломал ли он бак или нет!!!!4. Раздельный сбор мусора Регоператор должен был организовать сразу, как только изменилось законодательство в 2019 году.5. Регоператор должен был построить завод для утилизации ТКО, но полигон Сафроны (городская свалка), так и функционирует и принимает отходы.И сваливать на то что жители сами виноваты, это в корне не корректно со стороны Регоператора. На минуточку на сегодняшний;Завышение платы за коммунальные услуги
Дороги;наступающим 2023 годом! А;Освещение неисправно или отсутствует
Социальное обслуживание и защита;получат? Яйвинская,14 - прописан один ребёнок? Нужно разобраться с этим списком. Александровцы ЖИВУТ СЕГОДНЯ в аварийном жилье - но их;Аварийное жилье/переселение
Дороги;'Добрый день. Почему светофор на перекрестке у новой;Работа светофора (установка, изменение режима работы, оборудование кнопкой вызова)
Общественный транспорт;"пустить ""челнок"" Левшино-Кабельная и обратно с остановкой у переезда, как было когда закрывали ГЭС. И с раннего утра, чтобы люди успевали на работу";Добавить новый маршрут
Строительство и архитектура;'А по какому адресу?;Строительство социальных объектов
ЖКХ;денег на трубы если в ближайшем будущем не чего не будет происходить по этим вапросам буду писать призиденту и в;Плохое качество воды
Социальное обслуживание и защита;в муниципальной службе. В администрации города Гремячинска работала ведущим специалистом в отделе имущественных отношений;Занятость и трудоустройство
Здравоохранение/Медицина;сделать возврат. ?;Здравоохранение прочее
Дороги;уровневую на Хасана- Чкалова- Куйбышева;Строительство или реконструкция дорог
Газ и топливо;техническую возможность газификации?;Запрос на газификацию и её условия
ЖКХ;квартиры? Холодно однако.;Ненадлежащее качество или отсутствие отопления
Здравоохранение/Медицина;УЗИ сердца ждала, так и не сделали, надо;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
Благоустройство;!!!!Критику не писать!;Обустройство асфальтового покрытия парковки, внутридворового проезда, тротуара, пешеходной дорожки, въезда во двор
Здравоохранение/Медицина;комиссию для поступления в ВУЗ?;Профильный осмотр
ЖКХ;гости, помыться, постираться ржавой водой и;Плохое качество воды
Благоустройство;в этих ямах, вытаскивают друг друга. Таксисты отказываются;★ Ямы во дворах
Благоустройство;и травой,и борщевиком!!! Лазейкин обещал,что УК скосят всё до 30 июня,но воз и;Борщевик Сосновского
Культура;каток и очереди большие на;Культурно-досуговые мероприятия
ЖКХ;27/.Во время дождя топит;★ Затопление подъездов, подвальных помещений
Коронавирус;выводы, именно по Омикрона. Иначе это голословное утверждении;Коронавирус
Благоустройство;к станции Кабельная в темное время суток. Люди идут на кольцевую электричку или с неё в кромешной темноте,;Отсутствие фонарей освещения
Дороги;тоже непреодолим!#Пермь #ПлохиеНовостиПермь;Организация парковок
Культура;ёлки из машин?;Культурно-досуговые мероприятия
Мусор/Свалки/ТКО;'Сообщение без текста;★ Стихийные свалки в городе/в парках/в лесу
Образование;себе рукоприкладство по отношению к мальчишкам (может поднимать за шиворот и трясти). Со старшими так же, но и они ему отвечают тем же - матерятся и замахиваются (школа сельская, есть;Безопасность образовательного процесса
Дороги;'Перекресток улиц Автозаводская и Ласьвинская. Фото сделано в понедельник, там практически;Подтопление автомобильных дорог
Благоустройство;находящемся на пересечении улиц - Маяковского и;★ Открытые канализационные люки
Общественный транспорт;"можете не сдавать сдачу и спорите с пассажирами?""автобус 77 вчера в 7-";Некорректное поведение водительского состава
Образование;"но количество классов прежнее, не добавилось и значит как не было мест так и нет"". Вопрос зачем было стоить такую, новую, красивую,";Нехватка мест в школах
ЖКХ;ушли, ничего за собой;Ненадлежащая уборка подъездов и лифтов
Дороги;движением около лицея! Каждый день в;Пробки
Роспотребнадзор;наша администрация доблесная;Санитарно-эпидемиологическое благополучие
Общественный транспорт;Администрацию, установит Автобусную остановку Теплая стаянка отварот на АТП.;Отсутствие остановочных пунктов
Роспотребнадзор;'У нас такая же проблема 😡;Обработка и уничтожение грызунов (дератизация)
Дороги;Лянгасова у заправки кто;Некачественно выполненный ремонт дорог
Коронавирус;'Не какие ковидные бригады;Проблемы в работе горячих линий
Культура;Кто это придумал?;Учреждения культуры
Дороги;невозможно, как после;Предложение дороги в план ремонта
Общественный транспорт;маршрут очень перегружен, по сравнению;Изменение класса и количества автобусов
Электроснабжение;вот такое электричество у нас дома не то что бы какой нибудь электрический прибор даже лампочка не светит. И это не первый раз уже какой год. Живём третий год и все так же. Чтобы стиральную машину включить приходиться в 3-4 часа ночи вставать включать. Вакуумный насос еле работает. Ну сделайте что нибудь уже. Столбы поставили новые и обещали что все будет хорошо. Но дело дальше;Качество электроснабжения
Дороги;убирают, то тротуары и проезд между домами не убирает никто. Живём;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
Образование;факту она составляет 3600? Или я не ошибаюсь? Прошу Вас дать мне разъяснение по данному;Выплаты стипендий
Дороги;штрафуют нас,разберитесь пожалуйста;Содержание дорожных знаков/Установка новых дорожных знаков, с внесением в схему дислокации, замена старых знаков на новые
ЖКХ;холодные какое отопление не пойму;Ненадлежащее качество или отсутствие отопления
Мусор/Свалки/ТКО;Цимлянская19б , платишь - платишь и вот;★ Уборка/Вывоз мусора
Благоустройство;отмеченный на карте в неудовлетворительном состоянии.;Разрушение тротуаров и пешеходных дорожек
Образование;малоимущим. Дело в том, что моя дочь является студенткой одного из ВУЗов г. Перми. Ею были оформлены документы на получения;Выплаты стипендий
Электроснабжение;освещения на опоре;★ Повреждение опор ЛЭП
Здравоохранение/Медицина;врач к больному если тест положительный;★ Скорая помощь
ЖКХ;компенсацию на капремонт?;Сборы за капитальный ремонт
Социальное обслуживание и защита;узнать могу ли я что то;Матери-одиночки, подростки
Благоустройство;кислород перекрыли,мы видишь ли гостям рады они;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
Дороги;что такие транспортные налоги платим. Кто вообще принимает работу дорожников? Взяли асфальт вывалили и всё на этом. Почему-то в Чусовом;Некачественно выполненный ремонт дорог
Благоустройство;. Удручающее зрелище .;★ Ненадлежащее содержание зеленых насаждений (газонов)/деревьев и кустарников
Социальное обслуживание и защита;как безработная в;Занятость и трудоустройство
Дороги;эту часть улицы Кирова односторонним;Организация парковок
Коронавирус;людей болеет ковидом и каким штамом, ОРВИ, грипом. Сколько раз скорая, неотложная помощь выезжала за день на оказание медицинской помощи. А то цифры кидают и ни каких комментариев. Народ-то в недоумении, почему вакцинированные болеют;Коронавирус
Благоустройство;детскую площадку. А то детям негде играть в этом районе вот;Отсутствие детских площадок
ЖКХ;уже по улицам у дома бегают. Сама видела огромную,;Дезинфекция МКД
Благоустройство;Огромная просьба срочно посодействовать в запрете заезда машин (с щебнем и песком) по ремонту;Установка ограждений, препятствующих въезду на тротуар, газон на дворовой территории МКД
