Группа тем;Текст инцидента;Тема
ЖКХ;мужу исполнилось 70 лет,по информации должны платить 50% ,а начисляют и оплачиваем;Сборы за капитальный ремонт
Культура;'Здравствуйте, давайте флешмоб устроим новогодней ёлки;Культурно-досуговые мероприятия
Благоустройство;Гоголя и Суворова- борщевик колосится вовсю, скоро зацветет....И толку, что вы траву скашиваете? ему это не мешает нисколько размножаться, его уничтожать надо полностью. Если он набрал бутон, то даже в скошенном виде семена в нем дозреют и прорастут. А Администрация из года;Борщевик Сосновского
ЖКХ;дом, один беспредел и это не конец,в квартире;Завышение платы за коммунальные услуги
Благоустройство;стороны поликлиники номер2 по у.братьев;★ Ненадлежащее состояние игровых элементов на детской или спортивной площадке
Дороги;пробках и точно также теряется время, не хотите ли вы направить письмо в гортранс с просьбой организовать выделенную полосу и там? А также на;Пробки
ЖКХ;пока его не снесли кто-то же должен за ним;★ Наледь и сосульки на кровле
Здравоохранение/Медицина;настолько огромны, что приходится даже ждать;Очередь
ЖКХ;и ночью нам в окно, сотрудники курят на крыльце и нам тянет в окно, сейчас мы начали ремонт и после демонтажа обоев обнаружили трещины в несущих стенах.Арендаторы постоянно меняются, был авто магазин( запахи все мы тоже почувствовали). Председатель тсж в курсе нашей проблемы, но действий нет ни;Перепланировка и реконструкция помещений
Благоустройство;другого проезда НЕТ. Зимой постоянно застревают машины;★ Ямы во дворах
Памятники и объекты культурного наследия;что разрушено. Узкие тропинки рыли бульдозером чуть ли не до самих захоронений. Памятники поломаны. На лютеранском участке памятники стоят чуть ли не по пояс идущим уже. Края надгробий сломаны. кто;Памятники и объекты культурного наследия
Здравоохранение/Медицина;из нытвы в пермь, сдала анализы прошла узи итог ребенка уже не спасти, как быть то;Отсутствие лекарств в стационарах
Благоустройство;улицу. Заявление. Писала ещё в;Разрушение тротуаров и пешеходных дорожек
Мусор/Свалки/ТКО;в суд написали подаете, бардак сначала разгребите! Потому что ни одно письмо с моей почты не было прочтено - стоит уведомление о прочтении. Оплата идет по 100р. за;Плата за вывоз ТКО
Социальное обслуживание и защита;дозвониться не можем, хотелось бы узнать, готовы ли документы или когда;Социальные учреждения
Благоустройство;утро, проблема так же осталось и Вы не приняли никаких;★ Подтопление территории
Коронавирус;от ковид-19 прививкой лайт в Чайковской поликлинике, но там только ковивак.Почему нет;Доступность вакцин
Роспотребнадзор;'У нас такая же проблема;Обработка и уничтожение грызунов (дератизация)
Благоустройство;как на полигоне и темно;★ Неисправные фонари освещения
ЖКХ;'нас 27 тоже затопило 3 этажа УК ДО СИХ ПОР ИДЁТ АКТЫ ПИСАТЬ!;Залитие квартиры
Здравоохранение/Медицина;больницу идти не хочется. Даже;Хамство медицинских работников
Электроснабжение;произвести замену столба? Подскажите, куда нужно;★ Повреждение опор ЛЭП
Газ и топливо;нет газа? Может это дачи?;Восстановление газоснабжения
Дороги;'Элементарно улицы отремонтировать не могут. Пусть по Куйбышева,;Ремонт дороги
Благоустройство;до Первомайской такой срач !;★ Нарушение правил уборки внутридворового проезда, пешеходной дорожки
Социальное обслуживание и защита;дорогие как выживать не знаем. Пожалуйста поспособствуйте, повлияйте как-нибудь на;Создание доступной среды для инвалидов
Здравоохранение/Медицина;этот препарат для меня жизненно важный.;Отсутствие лекарств в аптеках
Здравоохранение/Медицина;а за вторым отправили идти саму с ребёнком на руках.;Хамство медицинских работников
Здравоохранение/Медицина;очереди часа полтора сидишь. Это тоже диспансеризация ??;Диспансеризация
Дороги;проходит улица Плеханова, но на неё нет ни одного сквозного проезда с улицы Голева. Похоже будет транспортный коллапс;Пробки
Здравоохранение/Медицина;я в поликлинику покупать лекарства;Нехватка материально-технического обеспечения
Благоустройство;понимаю заранее говорить спасибо не нужно.;★ Нарушение правил уборки внутридворового проезда, пешеходной дорожки
Мусор/Свалки/ТКО;перерабатывается каждый вид мусора? Или;Строительство объектов по обращению с отходами
Газ и топливо;Лермонтова, м. Барда, куда необходимо подойти и предоставить необходимые документы и написать заявление??? Можно ещё контактные телефоны, т. к.;Сроки газификации
Дороги;светофоров,есть некоторые где отдельно пешеходам, отдельно транспорту горит зелёный свет, почему везде;Работа светофора (установка, изменение режима работы, оборудование кнопкой вызова)
Благоустройство;ни одного общественного туалета нет.;Отсутствие общественных туалетов
Образование;его привлечь в сельскую школу, где нет;Социальная поддержка учителей
Строительство и архитектура;центр города, не собираются отремонтировать к 300-летию города?;Состояние зданий учреждений и организаций
Социальное обслуживание и защита;выплат за школьную форму?Старший ребёнок пошёл во второй класс, а второй ребёнок в первый класс. Ни на кого из;Задержка выплат гражданам
Электроснабжение;можно будет оформить заявление по электрофикации на Каменный;Качество электроснабжения
Погребение и похоронное дело;каждый в состоянии ухаживать за могилами,особенно пожилые. А урна— компактная,подхоронил;Погребение и похоронное дело
Благоустройство;'Улицу Качканарскую у дома 45 жители самовольно перегородиди, администрация района;Самовольная установка ограждений на территории общего пользования
Образование;как и где можно оформить социальную стипендию? Спасибо.;Выплаты стипендий
ЖКХ;Условия жилья улучшаются что ли? У нас;Плата за ЖКУ и работа ЕИРЦ
Здравоохранение/Медицина;то кто то в отпуске, то все болеют, то опять в отпуске. То в феврале карантин и опять болеют. Спасибо нашему врачу, Хализовой Ольге Юрьевне,;Нехватка или сокращение врачей и медицинских учреждений
Экология;Ленина 4. В подъезде вонь стоит;Выбросы вредных веществ в атмосферу/загрязнение воздуха
Дороги;'А Федосеева где? Ездить невозможно, как после войны;Предложение дороги в план ремонта
Газ и топливо;нужно что бы газовые службы подключили газ приобрести новый двухконтурный газовый котел на отопление и газовую;Запрос на газификацию и её условия
Общественный транспорт;должна еще и на Карпаты заехать, у;График движения общественного транспорта
Социальное обслуживание и защита;'Подскажите, пожалуйста, где можно найти списки персонала;Занятость и трудоустройство
Здравоохранение/Медицина;с увеличения зарплат начать? В;Низкая заработная плата врачей
Коронавирус;потом удивляются статистике по детям ....;Коронавирусные ограничения
Коронавирус;Если находился в контакте с больным, самоизоляция;Самоизоляция и карантин
ЖКХ;не убрали и не сделали.;Ненадлежащая уборка подъездов и лифтов
Газ и топливо;подключения принимают только до границы;Запрос на газификацию и её условия
Общественный транспорт;"позорном состоянии,название повреждено,""украшено"" граффити,разбито стекло...";Содержание остановок
Связь и телевидение;стоящее министерство, как можно связаться?;★ Информационно-техническая поддержка
Общественный транспорт;+79024756507. Вы в главном меню.;Содержание остановок
ЖКХ;такие большие суммы. В прошлом году было также. Потом стали как полагается, за;Завышение платы за коммунальные услуги
Общественный транспорт;на Уральской а так же ломать крышу перехода. Я два года добивался ремонта этой крыши. Ремонт сделали год назад а вы, янки, опять;Пешеходные переходы и жд переезды
Благоустройство;зиму,у нас значит люди не живут по адресу Чернышевского 54 ,;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
Физическая культура и спорт;детских и спортивных площадок, например, в Свердловском районе совсем нет.;Строительство спортивной инфраструктуры
Дороги;З центр города, лежачий просто квадратный, за что такие транспортные налоги платим. Кто вообще принимает работу дорожников? Взяли асфальт вывалили и всё на этом. Почему-то в Чусовом;Некачественно выполненный ремонт дорог
Образование;лёгкого. Ребёнок часто болеет, принимает гармоносодержащие препараты. На данный момент пытаюсь получить путёвку в санаторий для ребенка по форме Мать и дитя, так как ребёнок не самостоятелен. Дайте, пожалуйста, мне ответ, каким образом и в какие санатории имеются путевки? Как её получить? Фонд социального страхования отказывает так как нет статуса инвалида.;Детские оздоровительные лагеря
Общественный транспорт;по весне всё разбили. Можете;Пешеходные переходы и жд переезды
Общественный транспорт;всё разбили. Можете принять меры?;Пешеходные переходы и жд переезды
Мусор/Свалки/ТКО;когда появятся в нашем городе?;Строительство объектов по обращению с отходами
Благоустройство;Тут разговор о прокуратуре должен идти и об изъятии участка у недобросовестного собственника, превратившего водоохранную зону главной малой реки Перми в;Уборка территорий
Экономика и бизнес;или к кому можно обратиться;Трудоустройство
Здравоохранение/Медицина;не сделали сказали ехать домой у;Ошибки врачей, халатность
Дороги;Федосеева где? Ездить невозможно, как после войны;Предложение дороги в план ремонта
Здравоохранение/Медицина;'Добрый день! Где можно оставить жалобу на;Хамство медицинских работников
Газ и топливо;заявление на точку подключения принимают только до границы;Запрос на газификацию и её условия
Здравоохранение/Медицина;'Может с увеличения зарплат начать?;Низкая заработная плата врачей
Здравоохранение/Медицина;начать? В частных клиниках с кадрами проблем нет.;Низкая заработная плата врачей
Здравоохранение/Медицина;решает лечащий врач. Прошу прокомментировать ситуацию и разъяснить мои дальнейшие действия. Я мать-одиночка, у меня нет средств даже на дорогу в Пермь, а не то чтобы на платную операцию в самом ближайшем городе к нам. Я объясняла это все Козловой Т.Н. на что мне был ответ - это не наши проблемы. Вы можете ехать в любую клинику но за свой счет! А как же законы??? Закон за номером 323-ФЗ;Ошибки врачей, халатность
Благоустройство;на стоянке машин и дети со всего;★ Нарушение правил уборки от снега и наледи территории парка и сквера
Образование;бесплатное. Где оно на время;Питание
Благоустройство;стоят прямо на дороге, а на платных парковках навалены горы;★ Нарушение правил уборки и вывоза загрязненного снега и наледи на газоне
ЖКХ;написано. Число проживающих 6 человек написано на квитанции,когда нас 5 с детьми,;Завышение платы за коммунальные услуги
ЖКХ;3 Интернационала вода прибывает уже в;★ Затопление подъездов, подвальных помещений
Дороги;Ласьвинской около Лиона не пройти, не проехать.;Подтопление автомобильных дорог
Коронавирус;'Здравствуйте а Ковивак есть в больнице?;Доступность вакцин
Общественный транспорт;очень удобно будет ездить людям. 24 очень долго ходит.;Изменить или отменить маршрут
Мусор/Свалки/ТКО;эта мусорка полна мусора, редко вывозит;★ Уборка/Вывоз мусора
Здравоохранение/Медицина;В частных клиниках с кадрами проблем нет.;Низкая заработная плата врачей
Здравоохранение/Медицина;зарплат начать? В частных клиниках с кадрами;Низкая заработная плата врачей
Мусор/Свалки/ТКО;не подметают, только вывозят мусор ,большая часть из которого высыпается на площадку.;★ Отсутствие контейнерной площадки/Проезд к контейнерной площадке
Здравоохранение/Медицина;подвески автомобиля. Но , видимо в детские больницы;Содержание больниц
Государственная собственность;день! По какому номеру узнать информацию;Региональное имущество
Коронавирус;+79526570643. Здравствуйте. После вакцинации Спутником;Коронавирус
Образование;куда мне написать жалобу на школу?;Образовательный процесс
Образование;мне обращаться,что бы сделать дубликат диплома(училище;Содержание гос. образовательных организаций
Дороги;тем, что площадка закрыта? Выезд специалиста;Несанкционированное ограничение движения, помехи движению, захват земли в полосе отвода автодорог
Роспотребнадзор;'Ну что наша администрация доблесная молчим;Санитарно-эпидемиологическое благополучие
Дороги;новости по поводу нашего вопроса?;Необходима установка и замена дорожных ограждений
Газ и топливо;с какого числа какого года газ ведут до границ участка бесплатно,;Сроки газификации
Физическая культура и спорт;счету негде заниматься физической культурой , тем более с детства . Это я сейчас имею в виду точечную застройку города , у нас уже отнимают дворы . Вам не стыдно , господа чиновники , вы ведь живёте среди людей ,тех самых , которые выбирали вас .А так , глядя на деяния ваши , могу сказать одно- вредители вы и печётесь;Строительство спортивной инфраструктуры
Здравоохранение/Медицина;ведь не частная аптека была?или как?;Отсутствие аптек
Благоустройство;появилась после работ электриков при установке столбов и других ремонтных работ. По итогу они конечно засыпали все щебенкой но не положили на низ сточную трубу, чтобы;★ Подтопление территории
Образование;почему только театр и спорт??? Как будто других;Дополнительное образование
Благоустройство;просьба срочно посодействовать в запрете заезда машин (с щебнем и песком) по ремонту тротуаров около школы 116 во;Установка ограждений, препятствующих въезду на тротуар, газон на дворовой территории МКД
ЖКХ;обстановку.Только ли резервуар наполняют?Уже почти месяц;Отсутствие холодной воды
ЖКХ;за капитальный ремонт в фонд пермского края ей должны возвращать 100% этой оплаты. Но ниразу не вернули за 2021г. Харитонова Анфея Николаевна 1938г.р.;Сборы за капитальный ремонт
Здравоохранение/Медицина;клиниках с кадрами проблем нет.;Низкая заработная плата врачей
Дороги;станции Лодочная и остановкам автобуса. Много лет этой дорогой пользуются жители улиц Льва Лаврова и Волховской теперь приходится обходить по грязной тропинке, которую скор занесет снегом. Мотивация закрытия- безопасность, которая ничем не обеспечена, нет;Несанкционированное ограничение движения, помехи движению, захват земли в полосе отвода автодорог
Благоустройство;этого года.но тишина!нам куда можно с этим вопросом ?в Пермь в Прокуратору)в жкх никто ничего;Обустройство асфальтового покрытия парковки, внутридворового проезда, тротуара, пешеходной дорожки, въезда во двор
Дороги;где? Ездить невозможно, как после;Предложение дороги в план ремонта
Дороги;должен быть 11 мая 2022;Несанкционированное ограничение движения, помехи движению, захват земли в полосе отвода автодорог
ЖКХ;сейчас мы начали ремонт и после демонтажа обоев обнаружили трещины в несущих стенах.Арендаторы постоянно меняются, был авто магазин( запахи все мы тоже почувствовали). Председатель тсж в курсе нашей проблемы,;Перепланировка и реконструкция помещений
Здравоохранение/Медицина;компенсацию увеличили на ещё 1 млн. Могу ли я претендовать;Социальная поддержка медперсонала
Здравоохранение/Медицина;ведь не частная аптека была?или;Отсутствие аптек
Дороги;Власова и до Давыдова полосы изогнуты, сейчас наступает зима и развертки будут не заметны. Не все автомобилисты соблюдают;★ Некачественно нанесенная разметка на проезжей части
Образование;нас, пожалуйста, по одному вопросу)До которого;Образовательный процесс
Дороги;будем ломать машины и ноги!;Строительство или реконструкция дорог
Здравоохранение/Медицина;ответ прямо в комментариях к посту!;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
Здравоохранение/Медицина;увеличения зарплат начать? В частных клиниках с;Низкая заработная плата врачей
Дороги;теперь по переезду ездить? Пробки просто ужас! Как выезжать с;Пробки
Мусор/Свалки/ТКО;в морчанах нет ни одного бака под;Проблемы с контейнерами
Здравоохранение/Медицина;ФАПа в д. Мазуевка Кишертского;Предложения по созданию лечебных центров
Благоустройство;сквере Михеева поставили какую то ерунду из льда;Парки и зоны отдыха
Социальное обслуживание и защита;по поводу молодой семьи там мне сказали что щипают все жил площадь где мы с мужем были прописаны за последние 5 лет если;Улучшение жилищных условий
Благоустройство;столкнулись жители посёлка Яйва. Как жить, если подвал по пояс затоплен нечистотами? И при;★ Подтопление территории
ЖКХ;капитальный ремонт,а работы по факту;★ Затопление подъездов, подвальных помещений
"МФЦ ""Мои документы""";есть ли такая услуга в мфц?соцзащита;"МФЦ ""Мои документы"""
Общественный транспорт;году заделывали, а в этом по весне всё разбили. Можете принять;Пешеходные переходы и жд переезды
Общественный транспорт;И ребёнка высадили из автобуса посреди;Проблемы с социальными картами или проездными документами
Строительство и архитектура;нет? Вход на набережную, обычная тропинка.Там постоянно грязь и мусор, из-за этого здания;Архитектура города
Газ и топливо;какого года газ ведут до границ;Сроки газификации
Общественный транспорт;один вопрос - насчет остановки;Отсутствие остановочных пунктов
Дороги;же повесить знаки ещё сверху?;★ Некачественно нанесенная разметка на проезжей части
Здравоохранение/Медицина;в поликлинике до сих пор не ввели электронную очередь как это уже везде действует год точно?оформление сделали по единому стандарту,терминал поставили внизу,а дальше?Повесить мониторы и люди регистрировались бы очереди по талону,врач сам вызывал бы,это везде так;Технические проблемы с записью на прием к врачу
Благоустройство;катают шины и палькаются в бесконечных;Отсутствие детских площадок
Социальное обслуживание и защита;опекунство над человеком у которого нет ноги?;Инвалиды
Электроснабжение;через проезжую часть, после ремонта освещения на опоре;★ Повреждение опор ЛЭП
Роспотребнадзор;бороться с управляющей компании ЖПЭТ, в лице директора Васильевой Надежды Фёдоровны.Видео от Елены Курбановой;Санитарно-эпидемиологическое благополучие
Мусор/Свалки/ТКО;счета за мусор стабильно приходится платить за что;★ Отсутствие контейнерной площадки/Проезд к контейнерной площадке
Газ и топливо;куда обратиться по вопросу проведения газоснабжения;Запрос на газификацию и её условия
Мусор/Свалки/ТКО;недалеко от военного кладбища. Мусор сперва вывозить мы ещё могли с моими;★ Отсутствие контейнерной площадки/Проезд к контейнерной площадке
Социальное обслуживание и защита;варианта гимна прослушали. Хотим узнать- каким;Соц.обслуживание прочее
Благоустройство;гору прям на стоянке машин и дети со всего города ходят теперь кататься на;★ Нарушение правил уборки от снега и наледи территории парка и сквера
Связь и телевидение;берёте саженцы лиственных деревьев? Нам;★ Информационно-техническая поддержка
Связь и телевидение;вечер, скажите пожалуйста какую вышку установили;★ Информационно-техническая поддержка
Дороги;пешком.... ездить только на вездеходе;Ремонт дороги
Общественный транспорт;заделывали, а в этом по весне всё разбили. Можете;Пешеходные переходы и жд переезды
ЖКХ;в ук по замене лифтов. На;Лифт неисправен или отключен
Дороги;Лысьвы], возникает вопрос: «Ну, и где же светофоры?»;Работа светофора (установка, изменение режима работы, оборудование кнопкой вызова)
Общественный транспорт;'Не могу виртуальную карту сделать.;Проблемы с социальными картами или проездными документами
Здравоохранение/Медицина;уходят тихо помирать домой, а скорая;Очередь
Социальное обслуживание и защита;ОВЗ, положено ли ему бесплатное питание ( не двух разовое, тут, я так понимаю, только дети инвалиды с ОВЗ). Каким нормативным актом это закреплено в пермском крае?;Создание доступной среды для инвалидов
ЖКХ;жара, никогда такого небыло, трубы;Низкая температура воды/слабое давление
Дороги;'Почему убрали парковки для машин;Организация парковок
Здравоохранение/Медицина;детскую поликлинику по месту жительства был получен ответ, что в связи с короновирусом неизвестно когда начнут принимать детей для прохождения медкомиссии. Подскажите с какого;★ Просьбы о лечении
Физическая культура и спорт;где эти разрешения по по пожарной;Строительство спортивной инфраструктуры
Образование;путевки в лагеря малоимущим-многодетным семьям??;Детские оздоровительные лагеря
ЖКХ;км откуда считали и сколько;Другие проблемы с общедомовой системой водоотведения (канализации)
ЖКХ;это проблемно очень. Такую тяжесть и габарит на 7 этаж. Конечно, за лифты всегда платили.Естественно, требуется, чтобы все было исправно и можно пользоваться.А тут торговый центр на весь город. Хотя я там всегда по лестницам обычно;Лифт неисправен или отключен
Социальное обслуживание и защита;ребенка? Из соц защиты отправили к;Инвалиды
ЖКХ;'Добрый день. Что-то стало известно?;Некачественный капитальный ремонт
Образование;Скажите пожалуйста, сухие пайки в школах для малоимущих с 5 класса.;Питание
Дороги;мост ежедневно ездят и видят, что там;Ремонт/строительство мостов
Общественный транспорт;и ждать их приходится долго.;График движения общественного транспорта
Безопасность;больная тема- это щит около дома, все тот;Безопасность общественных пространств
Памятники и объекты культурного наследия;бульдозером чуть ли не до самих захоронений. Памятники поломаны. На лютеранском участке памятники стоят чуть ли не по пояс идущим уже. Края надгробий сломаны. кто за;Памятники и объекты культурного наследия
Государственная собственность;том году прокашивали. Сейчас там все заросло крапивой.Спасибо 🙂;Региональное имущество
Образование;в Пермском районе. Когда необходимо обращаться и какие документы для;Детские оздоровительные лагеря
Образование;чего было стоить такое здание, если там не добавили классов. Недавно переехали в этот район, сходили в старую школу, там как в консервной банке, решили подождать пока откроют новую, и вот открыли. Пришли в школу о переводе поговорить,;Нехватка мест в школах
Общественный транспорт;и утром и вечером там этот трындец...;Изменение класса и количества автобусов
ЖКХ;ящики кое-как открываются. У кого первый;Ремонт подъездов
Дороги;'Давно пора. Дорогу бы сделали на спуске;Ремонт дороги
Мусор/Свалки/ТКО;снег.Трактор куда снег толкать?А отвечали что до;★ Стихийные свалки в городе/в парках/в лесу
Благоустройство;тротуар и ломают его. Верещагинский район с Вознесенское ул;Разрушение тротуаров и пешеходных дорожек
Благоустройство;города ходят теперь кататься на эту грязную гору .наверно надо идти в администрацию пусть вывозят, этот кашмар точно не;★ Нарушение правил уборки от снега и наледи территории парка и сквера
Общественный транспорт;кстати) Сидячих мест не много, проходы узкие не протолкнутся, в местах для;Изменение класса и количества автобусов
Здравоохранение/Медицина;у мужа ковид, у жены нет. Чем;Очередь
Дороги;дороги,улиц и проезжие часов фронтовые. Как;Ямы и выбоины на дороге
Здравоохранение/Медицина;сейчас не помню как называется,;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
Мобилизация;'Скажите пожалуйста,какая помощь ещё положена семье мобилизованному в;Поддержка семей мобилизованных
Государственная собственность;восточной на тулвинскую.В том году прокашивали. Сейчас там все заросло крапивой.Спасибо 🙂;Региональное имущество
Строительство и архитектура;смешно смотреть. Стоит дом. 16 этажей. И рядом;Архитектура города
Дороги;но и водители не могут разъехаться. Не ровён час беда может;Работа светофора (установка, изменение режима работы, оборудование кнопкой вызова)
Благоустройство;17 часов центр Перми во;Отсутствие фонарей освещения
Дороги;по Волховской, 32. Дорога ведет к станции Лодочная и остановкам автобуса. Много лет этой дорогой пользуются жители улиц Льва Лаврова и Волховской теперь приходится обходить по грязной тропинке, которую скор занесет снегом. Мотивация закрытия- безопасность, которая ничем не обеспечена, нет ни охраны, ни камер. Можно как то решить проблему, сделать новые границы, передвинув забор, дорожка вдалеке от основного здания. А пока открыть;Несанкционированное ограничение движения, помехи движению, захват земли в полосе отвода автодорог
Образование;обществознание. Экзамен начинается в 10. Их обязали прийти к 9, чтобы в 9-10 все сели за парты. У;ЕГЭ, ОГЭ
Спецпроекты;ходили на митинг, торжественная часть! До;Спецпроекты
Благоустройство;несколько дней не горит свет на улице Кирова?;★ Неисправные фонари освещения
Безопасность;в данный момент ,что с;Беженцы
Образование;"в Кировском районе. Не понятно для чего было стоить такое здание, если там не добавили классов. Недавно переехали в этот район, сходили в старую школу, там как в консервной банке, решили подождать пока откроют новую, и вот открыли. Пришли в школу о переводе поговорить, а нам смеются в ответ, ""нет мест, у нас.. Школа большая но количество классов прежнее, не добавилось и значит как не было мест так и нет"". Вопрос зачем было стоить такую, новую, красивую, дорогую, школу если основной задачи, увеличение месть для учащихся, этим";Нехватка мест в школах
Благоустройство;стороны по Куйбышева от Глеба Успенского почти до Революции- это треш! Никогда ничего там не чистят, сколько людей травмировалось! Непонятно, почему хозяев первых этажей не могут обязать чистить дорожки для людей! Так все успехи на фоне этого меркнут. Идёшь с;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
