Группа тем;Текст инцидента;Тема
Дороги;гробим машины. Жду конкретного ответа;Ремонт дороги
Социальное обслуживание и защита;июня 2022 г.;Оказание гос. соц. помощи
Здравоохранение/Медицина;готовят там ЕСТЬ нельзя!!! Это;★ Питание в медицинских учреждениях
Общественный транспорт;в сторону новой площадки, очень;Пешеходные переходы и жд переезды
Физическая культура и спорт;извините , а;Спортивные мероприятия
Образование;но просто не знаю куда еще обратиться. Я являюсь ответственным школы в ИС Контингент. Появилась проблема при входе, о чем 29;Содержание гос. образовательных организаций
ЖКХ;этаже. С подобной ситуацией столкнулась жительница дома 18 по улице Школьная. Кто виноват, и что;★ Протечки с кровли (системы водостока)
Здравоохранение/Медицина;ФАП до нас;Нехватка материально-технического обеспечения
Здравоохранение/Медицина;пройти такой курс;Диспансеризация
Социальное обслуживание и защита;по адресу: г. Пермь ул. Пихтовая 28а;Аварийное жилье/переселение
Памятники и объекты культурного наследия;покрашен.В проведение фестивалей(Арт-фестиваль «12», RED Market, Майями;Памятники и объекты культурного наследия
ЖКХ;аукционы. Мы как собственники, хотим что бы работы проводила подрядная организация которую выбрали жильцы.Ук. Ссылается на 223 фз., говорят не;Некачественный капитальный ремонт
Дороги;чистят дороги 😐;★ Несоблюдение правил уборки проезжей части
Дороги;Бурдина идея? Пусть сначала до конца положат асфальт у дома на Веденеева;Нарушение технологии и (или) сроков производства работ
Мусор/Свалки/ТКО;на метров 10-15;Проблемы с контейнерами
Общественный транспорт;детьми ездить в губаху на такси;Изменение класса и количества автобусов
Дороги;не чего с этим не сделать…?;Работа светофора (установка, изменение режима работы, оборудование кнопкой вызова)
Электроснабжение;на жалобу в;Качество электроснабжения
ЖКХ;'За 1 комнатную за отопление 2800;Завышение платы за коммунальные услуги
Общественный транспорт;микрорайон, находящийся в Свкрдловском районе г.Перми и поэтому интервалы должны быть 5-7 минут хотя бы в час пик, как было раньше до реформы. Просим изменить интервалы в движении 19 автобуса. Кроме этого, 19 маршрут ходит через рынок, и весь пригородный транспорт проходящий через этот микрорайон, тоже следует через Центральный рынок, то есть в одном направлении, и это очень неудобно, особенно после новой транспортной реформы в городе, это отмена пересадочных билетов и подорожания проезда. С микрорайона велта имеется возможность;График движения общественного транспорта
Экономика и бизнес;работники вынуждены будут;Трудоустройство
Дороги;и эта прямая довольно длинная. Водители разгоняются по этой прямой и становится просто страшно переходить дорогу.Около 11 лет назад, в декабре, на этом самом месте сбили;Предложить установку нового лежачего полицейского (ИДН)
Образование;не было выплат;Выплаты стипендий
ЖКХ;Полевой на Липовой 1 не горят уличные фонари.... делали заявку, но решения нет;Отсутствие горячей воды
Газ и топливо;'Газификация д. Куземьярово;Сроки газификации
Здравоохранение/Медицина;будет стоить прийти???;Профильный осмотр
Социальное обслуживание и защита;ответ один посёлок переселяют...;Аварийное жилье/переселение
Здравоохранение/Медицина;7, а нам -ничего!😢;Здравоохранение прочее
Общественный транспорт;наговорил кучу ерунды вплоть, что на курево деньги есть, а на проезд нет. Мужчина, который это ляпнул, посмотреть бы вам в глаза.. В общем люди - Вы все людишки. Отдельное спасибо девушке, которая заплатила за ребёнка, просьба отзовитесь в комментариях, которые безусловно будут разными. Водитель, я вас вообще не поняла, не поленилась катать ребёнка, сказав где сел там тебя и выскажу, так и получилось бы, если бы не девушка,;Некорректное поведение водительского состава
ЖКХ;меня только андроид, и ту таблицу которую мне предлагается заполнить, ..я не могу НИКАК заполнить до конца !Мне 61 год , опыт общения в интернете не большой, но записаться к врачу могу ( и ПОЛУЧАЕТСЯ) легко!Если я где то ошибаюсь, то для ,,;Жалобы на управляющие компании
ЖКХ;пользуются такими благами;Плохое качество воды
Благоустройство;мостика через речку Безгодовку, нынче ничего не выкошено. Выкошен только въезд в Среднюю Курью, а;★ Ненадлежащее содержание зеленых насаждений (газонов)/деревьев и кустарников
Общественный транспорт;автобус, который обещали запустить ещё в июле;Изменение класса и количества автобусов
ЖКХ;сосульками на кого то;★ Наледь и сосульки на кровле
Дороги;замечают!!! Лежачий надо;Предложить установку нового лежачего полицейского (ИДН)
Образование;убрали коррекционным людям 8 вида;Выплаты стипендий
ЖКХ;во все инстанции и администрацию! - ТИШИНА!!! Дело замяли, тоже трещины, потопы в подвалах, проводка искрит, вечно с крыш топит- ПОФИГ всем!! По Пятилетки 93, снимки сделаны 3;Некачественный капитальный ремонт
Мусор/Свалки/ТКО;можно обратиться по незаконному;Выброс мусора нарушителем
Образование;Здравствуйте, нам никак не возвращают деньги за переплата по учёбе. Что;Выплаты стипендий
Безопасность;но так дальше продолжаться не может!;Безопасность общественных пространств
ЖКХ;на стенках налет;Плохое качество воды
Строительство и архитектура;в ужасном состоянии;Состояние зданий учреждений и организаций
Газ и топливо;вас пообщаться в прямом эфире 24 ноября в 17:00.;Запрос на газификацию и её условия
Здравоохранение/Медицина;министерства. Все нововведения должны доходить до поликлиник своевременно! С;Льготные лекарства
Благоустройство;транспорта и вдоль трассы большое количество электропроводов На протяжении 3 лет обещают спилить Но увы !;Вырубка деревьев, кустарников
Социальное обслуживание и защита;вечер! Региональный маткапитал;Дети и многодетные семьи
Дороги;на гайвинском мосту плита вываливается;Ремонт/строительство мостов
Здравоохранение/Медицина;к Пин Светлане Фёдоровне она удивилась, почему мне отказали и дала письминое разрешение. Я снова пошла к этому горе ( врачу) , так она меня ещё час не принимала. Справку с такой злостью;Хамство медицинских работников
Образование;колледж на Полетаевской 2.На данный момент я сижу в академическом отпуске.Скажите пожалуйста почему в этом месяце не было выплат социальных;Выплаты стипендий
Физическая культура и спорт;или средства на приобретение заброшенных;Ремонт спортивных учреждений
Коронавирус;сдал оак 3марта, мазок взяли этого же числа, А сделан 5;Самоизоляция и карантин
Социальное обслуживание и защита;ЗАЩИТЕ ВООБЩЕ НИЧЕГО;Социальные учреждения
Общественный транспорт;'Здравствуйте! У меня ребёнок;Проблемы с социальными картами или проездными документами
Мусор/Свалки/ТКО;на 2 дома;Проблемы с контейнерами
Дороги;рядом с детскими садами.;Содержание, ремонт и обустройство тротуаров
ЖКХ;с 11 по;Отсутствие горячей воды
Спецпроекты;пойдёт Бессмертный полк?;Спецпроекты
Дороги;Пожалуйста рассмотрите вопрос установки светофора на улице Чернышевского, напротив дома 39. Ходит очень много детей, пожилых людей, машины наезжают;Работа светофора (установка, изменение режима работы, оборудование кнопкой вызова)
ЖКХ;никаких действий не принимают, надо действительно Махонину писать;Лифт неисправен или отключен
ЖКХ;по направлению центрального рынка с крыши упала огромная глыба льда и чуть не придавила двух;★ Наледь и сосульки на кровле
Здравоохранение/Медицина;'Вы пробовали еду в больнице? Это же настоящие помои! Невозможно;★ Питание в медицинских учреждениях
Дороги;день...Или......Вы не можЕте ОРГАНИЗОВАТЬ?ВЕСЬ ГОРОД;Пробки
Здравоохранение/Медицина;полюсу ОМС и получить заключение;Нехватка или сокращение врачей и медицинских учреждений
Спецпроекты;«Родительская слава» и;Спецпроекты
Безопасность;с кофейни расположенной в БЦ по адресу Карла Маркса 48, в голову с крыши прилетел ком снега со льдом. Тяжелых последствий нет, на затылке шишка. Управляющая компания, надеюсь вы отреагируйте. Все таки;Безопасность общественных пространств
Общественный транспорт;здесь один маршрут 33, утром;График движения общественного транспорта
Газ и топливо;газ к дому надо заплатить 50к,а где их взять;Стоимость, оплата и возврат средств на газификацию
Мобилизация;отправил документы на выплату по ранению. Скажите пожалуйста сроки рассмотрения какие;Зарплата, компенсации, поощрения, выплаты
Благоустройство;что случится кто несёт ответственность.;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
ЖКХ;сада - Ратниковой Н.В.;Отсутствие электричества
Мусор/Свалки/ТКО;этого же дома...ппц просто какой то...;Плата за вывоз ТКО
Безопасность;у нас бегают на территории поселка ВЕРХНИЕ МУЛЛЫ стаи;Отлов безнадзорных собак и кошек
Дороги;- впрок ? Или в порядок приведут;Некачественно выполненный ремонт дорог
Здравоохранение/Медицина;'[club171875648|Министерство здравоохранения Пермского края], а мне вот по телефону сказали как раз идти;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
Здравоохранение/Медицина;как эти ваши удаленные мониторинги можно получить обычным людям. Вы любите алноритмы-вот и пропишите.;Предложения по созданию лечебных центров
Дороги;порыва водопровода в районе дома номер 3 пер. 150;Подтопление автомобильных дорог
Дороги;посёлковый совет, ответили что они ещё не заключили договор с исполнителем этой работы. А снег тает, он;Ливневые канализации (строительство и реконструкция)
Здравоохранение/Медицина;знают как там ужасно кормят.;★ Питание в медицинских учреждениях
Общественный транспорт;я вас вообще не поняла, не поленилась катать ребёнка, сказав где сел там тебя и выскажу, так и получилось бы, если бы;Некорректное поведение водительского состава
Образование;подали заявление в вуз через;ВУЗы и ССУЗы
Социальное обслуживание и защита;соцзащиты кировского района город Пермь?;Социальные учреждения
Образование;детского сада.Я могу это;Общее впечатление
Благоустройство;карманы парковочные в;Обустройство асфальтового покрытия парковки, внутридворового проезда, тротуара, пешеходной дорожки, въезда во двор
ЖКХ;ДОМ БЕЗ ВОДЫ!УПРАВЛЯЮЩАЯ КОМПАНИЯ НИ НА ЧТО;★ Затопление подъездов, подвальных помещений
Электроснабжение;25 скоро упадёт столб.;★ Повреждение опор ЛЭП
Коронавирус;сняли ли ограничения по посещению больных в больнице?;Коронавирусные ограничения
ЖКХ;НИ НА ЧТО НЕ РЕАГИРУЕТ!г.Краснокамск,Ул.Энтузиастов,7…;★ Затопление подъездов, подвальных помещений
Строительство и архитектура;ещё проинспектировать строительство больницы... ;Строительство социальных объектов
Экология;городских проездов попадает в;Выбросы вредных веществ в водоёмы/загрязнение водоёмов
ЖКХ;'Здравствуйте, почему очень слабый напор на улице Лермонтова, район базы Эльф,;Низкая температура воды/слабое давление
Общественный транспорт;общем люди - Вы все людишки. Отдельное спасибо девушке, которая заплатила за ребёнка, просьба отзовитесь в комментариях, которые безусловно будут разными. Водитель, я вас вообще не поняла, не поленилась катать ребёнка, сказав где сел там тебя и выскажу, так и получилось бы, если бы не девушка, на обратном пути он;Некорректное поведение водительского состава
Строительство и архитектура;"- ""здание"" необходимо убрать (разобрать)👆 ✒Более того, нарушены эстетические требования городской среды👈 (напоминающей разруху). ✒Просим пояснить, какие";Архитектура города
Общественный транспорт;а их просто;Проблемы с социальными картами или проездными документами
Общественный транспорт;опять отличился перевозчик маршрута 1 и 6.Приехав на поезде в 20:30 местного времени, мы все стояли и 40 минут ждали автобус. Слава богу пришёл, не;Некорректное поведение водительского состава
Благоустройство;в квартале улиц: работницы,;Парки и зоны отдыха
Культура;ребят, которые посетят;Культурно-досуговые мероприятия
Благоустройство;при уборке снега поломал недавно высаженные деревья, на замечание отвечает исключительно матом. Каждую зиму губят деревья, которых итак становится все меньше и меньше.;★ Нарушение правил уборки от снега и наледи территории парка и сквера
Дороги;перехода на ул.;Содержание дорожных знаков/Установка новых дорожных знаков, с внесением в схему дислокации, замена старых знаков на новые
Здравоохранение/Медицина;улице нет аптеки;Отсутствие аптек
Спецпроекты;конечно же существует. Больше всего страдают жители дома;Спецпроекты
Общественный транспорт;место было и люди на остановке стояли.Складывается такое ощущение что перевозчик;Некорректное поведение водительского состава
ЖКХ;Мы бесконечно звоним диспетчеру, устно обращаемся к руководителям «Яйважилкомсервис», но у них одни обещания и отговорки. То людей нет, то еще проблемы! А мы как должны жить? Мы добросовестно платим за коммунальные услуги этой организации, но услуги эти не получаем. У них нет даже графика осмотра колодцев, они и не знают, где они находятся? Летом , наш дом привели в более - менее хорошее состояние. Очистили подвал, отремонтировали холодное, горячее водоснабжение, наладили отопление. А сейчас из за недобросовестного обслуживания канализационных сетей (можно сказать ни какого), у нас опять затопило подвал. Если так будет продолжаться в дальнейшем, мы всем домом примем решение и не будем оплачивать такие услуги организации «Яйважилкомсервис», все равно терять не чего.Ольга Эдуардовна, просим ВАМ, организуйте проверку деятельности этой «компашки» «Яйважилкомсервис»! У вас, как у главы АМО – есть такие права! Привлеките к проверки все контролирующие органы! После получения выводов проверки, будет основание на передачу сетей;★ Засор в общедомовой системе водоотведения (канализации)
Благоустройство;по Дзержинскому району, в частности, по ул. Мильчакова, когда займутся ее благоустройством? Переехали в этот район из центра, хотя это тоже центр, и на улицу выходить;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
Дороги;ОРГАНИЗОВАТЬ?ВЕСЬ ГОРОД В Ж....;Пробки
Благоустройство;просто безобразие,когда кладбищем начал заведовать Тузлаев, трава косится только для виду,обработка от;★ Ненадлежащее содержание зеленых насаждений (газонов)/деревьев и кустарников
Торговля;Чердынской то рабочий мини рынок. А;★ Нестационарная торговля (киоски, павильоны, сезонная торговля)
Здравоохранение/Медицина;г, +79026327478. Как оформить больничный;Технические проблемы с записью на прием к врачу
Образование;что повлиять на ситуации они не могут. От нашего нового места жительства до лицея 4 добираться порядка 40-50 мин общественным транспортом через центральный рынок. К лицею у меня претензий нет, но возить ребёнка сейчас для меня крайне сложно, в семье есть ещё двое маленьких детей. И начальная школа должна быть рядом с домом. Как я могу;Нехватка мест в школах
Образование;прописка или вот печать на этом документе ,нотариусом заверенную возможности такой нет до школы две недели ,что мне делать в этой ситуации??ребенку нужен 3 класс программа школа;Нехватка мест в школах
Дороги;до конца положат асфальт;Нарушение технологии и (или) сроков производства работ
Общественный транспорт;оплачен презд? Смс приходит почему;Неудовлетворительные условия проезда в транспорте на действующем маршруте
Дороги;Гениальное расположение запрещающих;Содержание дорожных знаков/Установка новых дорожных знаков, с внесением в схему дислокации, замена старых знаков на новые
Роспотребнадзор;Крысеныши бегают вокруг подъезда. Подскажите, как действовать, чтобы решить проблему.;Обработка и уничтожение грызунов (дератизация)
Благоустройство;Александровск ул. 3 интернационала;★ Нарушение правил уборки и вывоза загрязненного снега и наледи на газоне
ЖКХ;мужчина 61 год Работает) могу ли уменьшить;Сборы за капитальный ремонт
Строительство и архитектура;строительство больницы... ;Строительство социальных объектов
Социальное обслуживание и защита;'Меня тоже интересует Будут ли Региональные Ветеранские;Пенсионеры и ветераны
Электроснабжение;23 и 25 скоро упадёт;★ Повреждение опор ЛЭП
Социальное обслуживание и защита;почему только в;Волонтерство
Благоустройство;дворов на дороги во многих местах в плохом состоянии. От Кирова 7 мимо Морковки на улице Кирова, от Ленина, 8, 12 и14 на улицу Ленина и таких мест много;★ Ямы во дворах
ЖКХ;пол в под,ездах моют раз в;Ненадлежащая уборка подъездов и лифтов
ЖКХ;сады у каменного;Отсутствие электричества
Мусор/Свалки/ТКО;можно обратиться по незаконному;Выброс мусора нарушителем
Здравоохранение/Медицина;маме ребёнка не;Ошибки врачей, халатность
Образование;выделяет ли государство или край, служебное жилье для учителей?;Социальная поддержка учителей
Образование;служебное жилье для учителей?;Социальная поддержка учителей
Коронавирус;веществ.Оперштаб, не проводились такие работы в;Коронавирус
Дороги;два но второй (дублирующий) то логичнее за перекрёстком установить а не для формальности горизонтально в;Предложить установку нового лежачего полицейского (ИДН)
Здравоохранение/Медицина;Пермского края], Здравствуйте. Подскажите пожалуйста, получается нужно;★ Просьбы о лечении
ЖКХ;'А когда включат?;Отсутствие электричества
Здравоохранение/Медицина;в такую дадь что не знаешь на;Нехватка материально-технического обеспечения
Мусор/Свалки/ТКО;скольки работает пункт на;Строительство объектов по обращению с отходами
Общественный транспорт;было и люди на остановке стояли.Складывается такое ощущение что перевозчик делает одолжение, хотя вроде и не бесплатно 🤔;Некорректное поведение водительского состава
Мусор/Свалки/ТКО;Кирова)тоже площадок нет, баки на;★ Отсутствие контейнерной площадки/Проезд к контейнерной площадке
Благоустройство;по которому можно обратиться;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
Мусор/Свалки/ТКО;тоже стоят мешки...;★ Уборка/Вывоз мусора
Здравоохранение/Медицина;снова я по молочной кухне. Сегодня принесли рецепт, опять выдача творога и кефира не с 1 числа. У них какие-то проблемы на молочке?;Льготные лекарства
Электроснабжение;Ермакова между домами 23;★ Повреждение опор ЛЭП
Здравоохранение/Медицина;вакцина???? Ее всем;Вакцинация
Дороги;парковку включительно до улицы;Организация парковок
Мусор/Свалки/ТКО;бы. А не;Проблемы с контейнерами
Экономика и бизнес;апрель. Если долг по зарплате не будет погашен в указанный срок, работники вынуждены будут прекратить выполнение своих трудовых обязанностей, о чем незамедлительно будет;Трудоустройство
Образование;действия мамы для перевода ребенка на семейное;Образовательный процесс
Физическая культура и спорт;или средства на;Ремонт спортивных учреждений
Образование;обучения?Если имеется такая;ВУЗы и ССУЗы
Социальное обслуживание и защита;на дому.Ребенок-аутист, учится в;Оказание гос. соц. помощи
Образование;на иве школу так и не построили...;Строительство школ, детских садов
Газ и топливо;вопросам перевода земли в собственность?Спасибо.;Запрос на газификацию и её условия
Здравоохранение/Медицина;+79194704937. Добрый день!;Нехватка или сокращение врачей и медицинских учреждений
Связь и телевидение;5августа будет ровно год,как я с периодичностью прошу поблагодарить трёх врачей..и устно...и письменно было несколько;★ Информационно-техническая поддержка
Благоустройство;написал, что подобная история произошла во дворе домов по улице Крупской 42, 42а, 42б. Туда приехали;★ Ненадлежащее состояние игровых элементов на детской или спортивной площадке
Благоустройство;цветения-до сабантуев,а не;Борщевик Сосновского
Здравоохранение/Медицина;ребенка 9 лет, если есть противопоказание к;Профильный осмотр
Благоустройство;в кустах и клещей ловит;Отсутствие детских площадок
Роспотребнадзор;ЗАХОДИМ В САЛОН ЗАПАХА НЕТ..НО КОГДА ОТЪЕЗЖАЕТ И;Санитарно-эпидемиологическое благополучие
ЖКХ;платеж по счетчику другой по тарифу,видимо не дошли мои показания счетчика,ездят по Осе из одного офиса в другой не успеваешь привыкнуть в одном;Завышение платы за коммунальные услуги
Строительство и архитектура;там и стена отваливается на тротуар. И он весь в ужасном состоянии но кому это интересно, им же нужен стадион. Деньги правят миром, людьми. Мы достойны того;Строительство зданий
Дороги;страница], нету столбов вообще у нас мы и просим;Освещение неисправно или отсутствует
Благоустройство;где найти список официальных полигонов для вывоза;★ Нарушение правил уборки и вывоза загрязненного снега и наледи на газоне
Социальное обслуживание и защита;выплату, многодетные (5ч), пермский край.;Оказание гос. соц. помощи
Культура;то как такое может произойти в наше не спокойное;Учреждения культуры
Благоустройство;[id644634230|ООО «Губерния»], вы живы?;★ Нарушение правил уборки внутридворового проезда, пешеходной дорожки
Здравоохранение/Медицина;когда снова приедут в;Профильный осмотр
Здравоохранение/Медицина;серьезная болезнь. Наш;★ Просьбы о лечении
Благоустройство;уже давно валяются,;Уборка территорий
Общественный транспорт;году? Сколько он будет;Льготы на проезд и тарифы
Дороги;пешеходов у Администрации нет;Содержание, ремонт и обустройство тротуаров
Физическая культура и спорт;объект, сдавали в;Строительство спортивной инфраструктуры
Благоустройство;пешком на работу и не на автобусе, ведь едет, а именно пешком. Темно страшно собаки. Просьба есть включить свет уличного освещения в 6.20-6.30, в посёлке Юбилейном, Снега нет на улице, темень. Ладно хоть вечером, после всех переговоров начали включать, менять время программирования.;★ Неисправные фонари освещения
Благоустройство;в мкр. Молодёжный по адресу Академика Веденеева, 9. Я обеими руками за безопасность наших детей! Но в данном случае какая то акция против людей живущих в данном микрорайоне а так же людей приезжающих в горгаз и соцслужбу. На данном участке большая проходимость так же к транспортной;Установка ограждений, препятствующих въезду на тротуар, газон на дворовой территории МКД
Дороги;горит центральное освещение,или поздно;Освещение неисправно или отсутствует
Электроснабжение;Пермэнерго нет.Не считают нужным;Качество электроснабжения
Социальное обслуживание и защита;оформил компенсацию по оплате жкх, мне ее оформили а деньги не платят по квитанциям присылают только;Инвалиды
Здравоохранение/Медицина;Пермского края, вы не смешите а, какая запись, я пожилой женщине на дом врача два дня вызывала, не возможно дозвониться, дозвонилась и тут абзац, врач приедет в течении дня,,, какого дня, я как и мы все работаю, мне надо время чтоб отпроситься на работе, не обезательно час в час, хоть до обеда или после,;Очередь
Образование;курсами тренера по каратэ открыть секцию и тренировать или обязательно надо;Дополнительное образование
ЖКХ;пор нет горячей воды ,;Отсутствие горячей воды
Благоустройство;по лесу(так называемая трасса),повреждение почвенного слоя квадрациклами,управление квадрациклами без средств защиты в том числе НЕСОВЕРШЕННОЛЕТНИМИ,,незаконное Предпринимательство.Прошу принять меры по защите леса Данная трасса находится в парке в створе пересечения Гатчинской /Подлесной. Примите меры!!!!;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
Социальное обслуживание и защита;подъезде живут два инвалида прошу;Создание доступной среды для инвалидов
Здравоохранение/Медицина;не торопится и подождать до 24 числа так сказали мне в регистратуре. Для чего я высидела у кабинета целый час - не понятно.Получается что в этой Женской Консультации такое обращение к беременным является нормальным. Гоняют каждый день. В регистратуре говорят что подходите вас примут, в самом кабинете отказывают. Получается что приходишь зря, сидишь у кабинета непонятно зачем, бегаешь просто так. Никакой информации насчет оплаты нету где платить и когда. Ничего не налажено в Женской;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
ЖКХ;с регистрацией на сайте. А хотелось бы озвучить проблему уборки подъезда 1 дома 39 по ул.Крупской. Уборка не осуществляется в течение 4 месяцев, управляющая Компани не реагирует на требования;Ненадлежащая уборка подъездов и лифтов
Строительство и архитектура;"- ""здание"" необходимо убрать (разобрать)👆 ✒Более того, нарушены эстетические требования городской среды👈 (напоминающей разруху). ✒Просим пояснить, какие действия и в какие сроки⏳ запланированы с этим ""застоявшимся без";Архитектура города
Благоустройство;грязь скользко, пешеходам по тротуару не пройти,, приходится выходить на проезжую дорогу. Машины, которые заезжают на территорию монтажного управления (ул. Рабкоровская, 23) разворотили;Установка ограждений, препятствующих въезду на тротуар, газон на дворовой территории МКД
Физическая культура и спорт;Району необходим спортивный центр и бассейн;Строительство спортивной инфраструктуры
ЖКХ;УО ремонтировать почтовый замок?;Ремонт подъездов
Строительство и архитектура;хорошая больница, в Губахе много людей проживают, которым нужна помощь, извините, пожалуйста, но в Пермь не наездишься к врачам. Красивые и облицовочные;Строительство социальных объектов
