id;Группа тем;Тема
5271;Социальное обслуживание и защита;Дети и многодетные семьи
5272;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
5273;Благоустройство;Уборка территорий
5274;Социальное обслуживание и защита;Дети и многодетные семьи
5275;Безопасность;Некорректное поведение водительского состава
5276;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
5277;Благоустройство;Уборка территорий
5278;Здравоохранение/Медицина;Проблемы с контейнерами
5279;Здравоохранение/Медицина;★ Питание в медицинских учреждениях
5280;Мусор/Свалки/ТКО;Плата за вывоз ТКО
5281;ЖКХ;Жалобы на управляющие компании
5282;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
5283;Мусор/Свалки/ТКО;Плата за вывоз ТКО
5284;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
5285;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5286;ЖКХ;График движения общественного транспорта
5287;ЖКХ;Завышение платы за коммунальные услуги
5288;Дороги;Занятость и трудоустройство
5289;Здравоохранение/Медицина;Очередь
5290;ЖКХ;Завышение платы за коммунальные услуги
5291;Благоустройство;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
5292;Дороги;Занятость и трудоустройство
5293;Социальное обслуживание и защита;Оказание гос. соц. помощи
5294;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
5295;Социальное обслуживание и защита;Матери-одиночки, подростки
5296;Здравоохранение/Медицина;★ Затопление подъездов, подвальных помещений
5297;ЖКХ;Ненадлежащее качество или отсутствие отопления
5298;ЖКХ;Ненадлежащее содержание и эксплуатация МКД
5299;Дороги;Освещение неисправно или отсутствует
5300;Дороги;Занятость и трудоустройство
5301;Здравоохранение/Медицина;Профильный осмотр
5302;Здравоохранение/Медицина;★ Скорая помощь
5303;Мусор/Свалки/ТКО;Ямы и выбоины на дороге
5304;Благоустройство;Социальные учреждения
5305;Социальное обслуживание и защита;Оказание гос. соц. помощи
5306;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
5307;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
5308;Дороги;Занятость и трудоустройство
5309;Социальное обслуживание и защита;Оказание гос. соц. помощи
5310;Мусор/Свалки/ТКО;Плата за вывоз ТКО
5311;Здравоохранение/Медицина;Профильный осмотр
5312;Мусор/Свалки/ТКО;Ямы и выбоины на дороге
5313;Благоустройство;★ Подтопление территории
5314;Общественный транспорт;Проблемы с социальными картами или проездными документами
5315;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
5316;Благоустройство;Уборка территорий
5317;Благоустройство;Уборка территорий
5318;Спецпроекты;Льготы на проезд и тарифы
5319;ЖКХ;Ненадлежащее качество или отсутствие отопления
5320;Общественный транспорт;Пенсионеры и ветераны
5321;Дороги;Занятость и трудоустройство
5322;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
5323;Коронавирус;Тесты на коронавирус
5324;Благоустройство;★ Ненадлежащее содержание зеленых насаждений (газонов)/деревьев и кустарников
5325;Благоустройство;Социальные учреждения
5326;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
5327;ЖКХ;Отсутствие горячей воды
5328;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
5329;Социальное обслуживание и защита;Дети и многодетные семьи
5330;Дороги;Освещение неисправно или отсутствует
5331;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5332;Социальное обслуживание и защита;Дети и многодетные семьи
5333;Мусор/Свалки/ТКО;Плата за вывоз ТКО
5334;Здравоохранение/Медицина;Нехватка материально-технического обеспечения
5335;Мусор/Свалки/ТКО;Плата за вывоз ТКО
5336;Дороги;Ремонт/строительство мостов
5337;Общественный транспорт;Плохое качество воды
5338;Культура;Учреждения культуры
5339;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
5340;Здравоохранение/Медицина;Проблемы с контейнерами
5341;Образование;Образовательный процесс
5342;Дороги;Разрушение тротуаров и пешеходных дорожек
5343;Здравоохранение/Медицина;Здравоохранение прочее
5344;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
5345;Благоустройство;Социальные учреждения
5346;Здравоохранение/Медицина;Диспансеризация
5347;Социальное обслуживание и защита;Дети и многодетные семьи
5348;Коронавирус;Доступность вакцин
5349;Здравоохранение/Медицина;Диспансеризация
5350;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
5351;Социальное обслуживание и защита;Дети и многодетные семьи
5352;ЖКХ;Отсутствие холодной воды
5353;Здравоохранение/Медицина;Хамство медицинских работников
5354;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
5355;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5356;Общественный транспорт;Неудовлетворительные условия проезда в транспорте на действующем маршруте
5357;Социальное обслуживание и защита;Оказание гос. соц. помощи
5358;Социальное обслуживание и защита;Дети и многодетные семьи
5359;ЖКХ;★ Засор в общедомовой системе водоотведения (канализации)
5360;Благоустройство;★ Неисправные фонари освещения
5361;Здравоохранение/Медицина;Профильный осмотр
5362;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
5363;Мусор/Свалки/ТКО;Ямы и выбоины на дороге
5364;Здравоохранение/Медицина;Содержание больниц
5365;Образование;Выплаты стипендий
5366;Дороги;Занятость и трудоустройство
5367;Здравоохранение/Медицина;Содержание больниц
5368;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
5369;Здравоохранение/Медицина;Проблемы с контейнерами
5370;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
5371;Образование;Образовательный процесс
5372;Социальное обслуживание и защита;Оказание гос. соц. помощи
5373;ЖКХ;Жалобы на управляющие компании
5374;Образование;Образовательный процесс
5375;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
5376;Здравоохранение/Медицина;Содержание больниц
5377;Образование;Образовательный процесс
5378;Благоустройство;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
5379;Социальное обслуживание и защита;Аварийное жилье/переселение
5380;Здравоохранение/Медицина;Социальная поддержка медперсонала
5381;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5382;Благоустройство;★ Ненадлежащее содержание зеленых насаждений (газонов)/деревьев и кустарников
5383;Здравоохранение/Медицина;Ошибки врачей, халатность
5384;Здравоохранение/Медицина;Ошибки врачей, халатность
5385;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5386;ЖКХ;Жалобы на управляющие компании
5387;Благоустройство;Уборка территорий
5388;Социальное обслуживание и защита;Оказание гос. соц. помощи
5389;Дороги;Предложить установку нового лежачего полицейского (ИДН)
5390;Дороги;Отлов безнадзорных собак и кошек
5391;Дороги;Необходима установка и замена дорожных ограждений
5392;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5393;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5394;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5395;Социальное обслуживание и защита;Дети и многодетные семьи
5396;Благоустройство;★ Неисправные фонари освещения
5397;ЖКХ;Жалобы на управляющие компании
5398;Благоустройство;Уборка территорий
5399;Благоустройство;Уборка территорий
5400;Здравоохранение/Медицина;Очередь
5401;Образование;Образовательный процесс
5402;Благоустройство;★ Неисправные фонари освещения
5403;Социальное обслуживание и защита;Оказание гос. соц. помощи
5404;Социальное обслуживание и защита;Оказание гос. соц. помощи
5405;Социальное обслуживание и защита;Дети и многодетные семьи
5406;Социальное обслуживание и защита;Оказание гос. соц. помощи
5407;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
5408;Дороги;Занятость и трудоустройство
5409;ЖКХ;Ненадлежащее качество или отсутствие отопления
5410;Мусор/Свалки/ТКО;Ямы и выбоины на дороге
5411;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
5412;Социальное обслуживание и защита;Оказание гос. соц. помощи
5413;Социальное обслуживание и защита;Дети и многодетные семьи
5414;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
5415;Дороги;Отсутствие фонарей освещения
5416;ЖКХ;Некачественный капитальный ремонт
5417;Социальное обслуживание и защита;Оказание гос. соц. помощи
5418;ЖКХ;Жалобы на управляющие компании
5419;Благоустройство;★ Неисправные фонари освещения
5420;ЖКХ;Ненадлежащее качество или отсутствие отопления
5421;Социальное обслуживание и защита;Оказание гос. соц. помощи
5422;Социальное обслуживание и защита;Дети и многодетные семьи
5423;Социальное обслуживание и защита;Дети и многодетные семьи
5424;Мусор/Свалки/ТКО;Плата за вывоз ТКО
5425;Дороги;Ремонт/строительство мостов
5426;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
5427;Социальное обслуживание и защита;Аварийное жилье/переселение
5428;Социальное обслуживание и защита;Дети и многодетные семьи
5429;Социальное обслуживание и защита;Дети и многодетные семьи
5430;Здравоохранение/Медицина;Содержание больниц
5431;Социальное обслуживание и защита;Оказание гос. соц. помощи
5432;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
5433;Дороги;Занятость и трудоустройство
5434;ЖКХ;Отсутствие холодной воды
5435;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
5436;ЖКХ;Жалобы на управляющие компании
5437;Социальное обслуживание и защита;Дети и многодетные семьи
5438;Коронавирус;Жалобы на врачей
5439;ЖКХ;Жалобы на управляющие компании
5440;Социальное обслуживание и защита;Оказание гос. соц. помощи
5441;Социальное обслуживание и защита;Оказание гос. соц. помощи
5442;Социальное обслуживание и защита;Дети и многодетные семьи
5443;Социальное обслуживание и защита;Дети и многодетные семьи
5444;ЖКХ;Жалобы на управляющие компании
5445;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
5446;ЖКХ;Ненадлежащее качество или отсутствие отопления
5447;Социальное обслуживание и защита;Дети и многодетные семьи
5448;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
5449;Благоустройство;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
5450;Социальное обслуживание и защита;Дети и многодетные семьи
5451;Общественный транспорт;Пенсионеры и ветераны
5452;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
5453;ЖКХ;Отсутствие электричества
5454;Коронавирус;Тесты на коронавирус
5455;Коронавирус;Доступность вакцин
5456;Дороги;Занятость и трудоустройство
5457;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
5458;Благоустройство;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
5459;Социальное обслуживание и защита;Дети и многодетные семьи
5460;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
5461;Дороги;Содержание, ремонт и обустройство тротуаров
5462;Коронавирус;Проблемы в работе горячих линий
5463;ЖКХ;Отсутствие электричества
5464;Дороги;Содержание, ремонт и обустройство тротуаров
5465;Социальное обслуживание и защита;Дети и многодетные семьи
5466;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
5467;Дороги;Занятость и трудоустройство
5468;Благоустройство;★ Нарушение правил уборки и вывоза загрязненного снега и наледи на газоне
5469;Общественный транспорт;Добавить новый маршрут
5470;Социальное обслуживание и защита;Оказание гос. соц. помощи
5471;ЖКХ;Ненадлежащее качество или отсутствие отопления
5472;Социальное обслуживание и защита;Дети и многодетные семьи
5473;ЖКХ;Строительство спортивной инфраструктуры
5474;Социальное обслуживание и защита;Дети и многодетные семьи
5475;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
5476;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
5477;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
5478;Общественный транспорт;Пенсионеры и ветераны
5479;Образование;Проблемы с отоплением детских садов и школ
5480;Здравоохранение/Медицина;Ошибки врачей, халатность
5481;Физическая культура и спорт;★ Прорыв трубы/трубопровода
5482;Социальное обслуживание и защита;Оказание гос. соц. помощи
5483;Социальное обслуживание и защита;Дети и многодетные семьи
5484;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5485;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
5486;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5487;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5488;Социальное обслуживание и защита;Дети и многодетные семьи
5489;Благоустройство;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
5490;Социальное обслуживание и защита;Аварийное жилье/переселение
5491;Здравоохранение/Медицина;Проблемы с контейнерами
5492;Благоустройство;★ Ненадлежащее содержание зеленых насаждений (газонов)/деревьев и кустарников
5493;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5494;ЖКХ;★ Протечки с кровли (системы водостока)
5495;Общественный транспорт;Пенсионеры и ветераны
5496;Благоустройство;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
5497;Здравоохранение/Медицина;Проблемы с контейнерами
5498;Социальное обслуживание и защита;Дети и многодетные семьи
5499;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
5500;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
5501;ЖКХ;Отсутствие горячей воды
5502;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
5503;Здравоохранение/Медицина;★ Просьбы о лечении
5504;Коронавирус;Сертификаты и QR-коды
5505;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
5506;Дороги;Организация переходов, светофоров/Изменить организацию движения
5507;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5508;Социальное обслуживание и защита;Оказание гос. соц. помощи
5509;Общественный транспорт;Поддержка семей мобилизованных
5510;Благоустройство;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
5511;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
5512;Здравоохранение/Медицина;Содержание больниц
5513;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5514;Образование;Безопасность образовательного процесса
5515;Социальное обслуживание и защита;Оказание гос. соц. помощи
5516;Социальное обслуживание и защита;Улучшение жилищных условий
5517;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5518;Социальное обслуживание и защита;Оказание гос. соц. помощи
5519;ЖКХ;Ненадлежащее качество или отсутствие отопления
5520;Благоустройство;Предложение по благоустройству
5521;Социальное обслуживание и защита;Аварийное жилье/переселение
5522;Благоустройство;Вырубка деревьев, кустарников
5523;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5524;ЖКХ;Завышение платы за коммунальные услуги
5525;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5526;Безопасность;Некорректное поведение водительского состава
5527;Благоустройство;Уборка территорий
5528;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
5529;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
5530;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
5531;Социальное обслуживание и защита;Дети и многодетные семьи
5532;ЖКХ;Сборы за капитальный ремонт
5533;Дороги;Занятость и трудоустройство
5534;Мобилизация;Инвалиды
5535;Здравоохранение/Медицина;Хамство медицинских работников
5536;Общественный транспорт;Пенсионеры и ветераны
5537;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
5538;ЖКХ;Жалобы на управляющие компании
5539;Общественный транспорт;Неудовлетворительные условия проезда в транспорте на действующем маршруте
5540;Безопасность;Некорректное поведение водительского состава
5541;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
5542;Дороги;Занятость и трудоустройство
5543;Мусор/Свалки/ТКО;Плата за вывоз ТКО
5544;Образование;Содержание гос. образовательных организаций
5545;Благоустройство;Отсутствие детских площадок
5546;Коронавирус;Порядок и пункты вакцинации
5547;Дороги;Занятость и трудоустройство
5548;Мусор/Свалки/ТКО;Плата за вывоз ТКО
5549;Здравоохранение/Медицина;Проблемы с контейнерами
5550;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
5551;Культура;Учреждения культуры
5552;Социальное обслуживание и защита;Оказание гос. соц. помощи
5553;Социальное обслуживание и защита;Дети и многодетные семьи
5554;Социальное обслуживание и защита;Государственные услуги
5555;Благоустройство;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
5556;Общественный транспорт;Пенсионеры и ветераны
5557;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
5558;Благоустройство;Предложение по благоустройству
5559;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5560;Общественный транспорт;Пенсионеры и ветераны
5561;Социальное обслуживание и защита;Дети и многодетные семьи
5562;Социальное обслуживание и защита;Дети и многодетные семьи
5563;ЖКХ;Ненадлежащее качество или отсутствие отопления
5564;Социальное обслуживание и защита;Дети и многодетные семьи
5565;Образование;Низкая температура воды/слабое давление
5566;Социальное обслуживание и защита;Дети и многодетные семьи
5567;Газ и топливо;Сроки газификации
5568;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
5569;Социальное обслуживание и защита;Дети и многодетные семьи
5570;Социальное обслуживание и защита;Оказание гос. соц. помощи
5571;Дороги;Организация переходов, светофоров/Изменить организацию движения
5572;Социальное обслуживание и защита;Оказание гос. соц. помощи
5573;Социальное обслуживание и защита;Дети и многодетные семьи
5574;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
5575;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
5576;Дороги;Занятость и трудоустройство
5577;Дороги;Занятость и трудоустройство
5578;Социальное обслуживание и защита;Аварийное жилье/переселение
5579;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5580;Строительство и архитектура;Архитектура города
5581;Дороги;Занятость и трудоустройство
5582;Благоустройство;Вырубка деревьев, кустарников
5583;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
5584;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
5585;Социальное обслуживание и защита;Оказание гос. соц. помощи
5586;Общественный транспорт;Пенсионеры и ветераны
5587;Социальное обслуживание и защита;Оказание гос. соц. помощи
5588;Образование;Образовательный процесс
5589;Безопасность;Льготные лекарства
5590;ЖКХ;Жалобы на управляющие компании
5591;Социальное обслуживание и защита;Дети и многодетные семьи
5592;Образование;Образовательный процесс
5593;Благоустройство;★ Ненадлежащее состояние игровых элементов на детской или спортивной площадке
5594;Социальное обслуживание и защита;Дети и многодетные семьи
5595;Благоустройство;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
5596;Дороги;Пробки
5597;Здравоохранение/Медицина;Проблемы с контейнерами
5598;ЖКХ;График движения общественного транспорта
5599;Социальное обслуживание и защита;Дети и многодетные семьи
5600;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5601;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5602;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5603;ЖКХ;Завышение платы за коммунальные услуги
5604;Социальное обслуживание и защита;Дети и многодетные семьи
5605;Дороги;Содержание, ремонт и обустройство тротуаров
5606;Связь и телевидение;★ Информационно-техническая поддержка
5607;Здравоохранение/Медицина;Очередь
5608;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5609;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5610;Благоустройство;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
5611;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
5612;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
5613;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
5614;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
5615;Социальное обслуживание и защита;Дети и многодетные семьи
5616;Социальное обслуживание и защита;Оказание гос. соц. помощи
5617;Мусор/Свалки/ТКО;Раздельная сортировка отходов
5618;Здравоохранение/Медицина;Содержание больниц
5619;Социальное обслуживание и защита;Дети и многодетные семьи
5620;Благоустройство;Ремонт дороги
5621;Коронавирус;Тесты на коронавирус
5622;Дороги;Занятость и трудоустройство
5623;Благоустройство;Уборка территорий
5624;Социальное обслуживание и защита;Дети и многодетные семьи
5625;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5626;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
5627;Здравоохранение/Медицина;Хамство медицинских работников
5628;ЖКХ;Отсутствие горячей воды
5629;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
5630;Социальное обслуживание и защита;Оказание гос. соц. помощи
5631;Здравоохранение/Медицина;Проблемы с контейнерами
5632;ЖКХ;Жалобы на управляющие компании
5633;Коронавирус;Жалобы на врачей
5634;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
5635;Благоустройство;Ливневые канализации (строительство и реконструкция)
5636;Общественный транспорт;Пенсионеры и ветераны
5637;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
5638;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
5639;Благоустройство;Уборка территорий
5640;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
5641;Социальное обслуживание и защита;Оказание гос. соц. помощи
5642;Общественный транспорт;Пенсионеры и ветераны
